报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,769.991,4.2099,182.9,15.9749,12.05,36.22%,3.29亿,57.15%,11.21,31.86亿,23.44亿,27.31%,47.20亿,13.04亿
2025,749.249,4.2095,177.99,17.0206,44.02,40.36%,10.40亿,74.82%,10.41,30.17亿,20.15亿,23.62%,43.82亿,12.54亿
2024,457.648,4.189,109.25,14.5934,31.36,46.94%,5.95亿,341.01%,8.46,24.65亿,13.75亿,18.97%,35.46亿,7.84亿
2023,262.078,4.1792,62.71,12.2753,21.35,5.17%,1.35亿,-54.65%,7.32,12.41亿,9.84亿,6.32%,30.61亿,12.51亿
2022,283.067,4.1738,67.82,13.9442,20.3,-25.34%,2.97亿,-50.58%,6.99,8.10亿,9.70亿,14.65%,29.20亿,14.64亿
2021,558.322,4.1725,133.81,20.5341,27.19,45.90%,6.02亿,88.07%,6.83,18.85亿,10.54亿,22.14%,28.51亿,4.74亿
2020,293.071,4.1588,70.47,15.7311,18.63,32.37%,3.20亿,56.31%,5.44,19.89亿,7.16亿,17.17%,22.61亿,2.42亿
2019,,,,,14.08,10.77%,2.05亿,6.53%,4.63,13.56亿,5.73亿,14.54%,17.16亿,3.26亿
2018,,,,,12.71,1.63%,1.92亿,81.11%,4.08,10.37亿,3.90亿,15.12%,15.11亿,4.22亿
2017,,,,,12.51,-3.67%,1.06亿,18.11%,3.62,7.49亿,2.38亿,8.48%,13.39亿,4.02亿
2016,,,,,12.98,27.81%,8983.07万,255.24%,7.01,2.34亿,1.80亿,6.92%,7.57亿,3.45亿
2015,,,,,10.16,-0.48%,2528.74万,-54.16%,6.17,2.04亿,9936.67万,2.49%,6.67亿,2.20亿
2014,,,,,10.21,-29.59%,5516.24万,-67.10%,178.86,2.90亿,5.32亿,5.41%,5.37亿,2.17亿
2013,,,,,14.49,False,1.68亿,False,193.80,3.69亿,5.77亿,11.57%,5.81亿,4.43亿
