报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,47.269,1.5204,31.09,4.5277,2.61,7.71%,1844.65万,-35.09%,7.18,3.86亿,4.48亿,7.08%,10.91亿,3.15亿
2025,49.231,1.5204,32.38,4.1721,11.8,13.15%,1.25亿,1.14%,7.08,3.22亿,4.29亿,10.57%,10.76亿,2.74亿
2024,45.141,1.5204,29.69,4.328,10.43,5.97%,1.23亿,4.45%,6.75,5.31亿,3.83亿,11.83%,10.27亿,1.74亿
2023,,,,,9.84,1.51%,1.18亿,124.75%,4.74,1.84亿,2.63亿,12.00%,5.52亿,1.55亿
2022,,,,,9.69,-4.23%,5252.81万,171.40%,3.73,1.96亿,1.48亿,5.42%,4.34亿,1.42亿
2021,,,,,10.12,39.71%,1935.42万,-57.95%,3.24,2.41亿,9839.01万,1.91%,3.70亿,2.00亿
2020,,,,,7.25,6.44%,4602.51万,20.37%,3.07,1.61亿,8293.95万,6.35%,3.51亿,1.20亿
2019,,,,,6.81,False,3823.77万,False,3.58,1.26亿,1.25亿,5.62%,2.29亿,7963.27万
2014,,,,,2.7,106.76%,2065.50万,2359.06%,False,428.84万,2086.85万,8.00%,9176.92万,5464.49万
2013,,,,,1.3,False,84.00万,False,False,1016.94万,177.50万,0.21%,2425.80万,1954.60万
