报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,1024.265,14.6848,69.75,0.7219,354.7,-24.30%,6.05亿,30.74%,15.19,109.90亿,134.70亿,1.71%,226.34亿,442.07亿
2025,978.008,14.6848,66.6,0.5935,1647.82,43.25%,24.13亿,5.20%,14.82,104.71亿,128.65亿,1.46%,220.92亿,465.08亿
2024,761.244,14.7214,51.71,0.6618,1150.29,74.24%,22.94亿,28.65%,13.58,74.78亿,106.22亿,2.00%,203.04亿,406.79亿
2023,485.512,14.7214,32.98,0.7371,658.67,-5.41%,17.83亿,-14.54%,12.19,120.65亿,88.18亿,2.73%,182.85亿,191.15亿
2022,312.063,14.6371,21.32,0.4481,696.35,3.70%,20.86亿,4.17%,11.11,90.70亿,73.09亿,2.96%,176.63亿,150.25亿
2021,513.163,14.5372,35.3,0.7654,670.48,6.36%,20.03亿,36.57%,9.74,76.77亿,56.28亿,3.03%,155.66亿,224.02亿
2020,383.491,14.5372,26.38,0.6083,630.38,22.04%,14.66亿,57.90%,8.56,138.42亿,40.58亿,2.39%,148.28亿,109.43亿
2019,351.578,12.8925,27.27,0.6807,516.53,10.04%,9.29亿,41.02%,6.94,67.05亿,28.94亿,1.85%,103.08亿,85.68亿
2018,185.523,12.8925,14.39,0.3952,469.41,84.17%,6.59亿,54.05%,6.19,55.35亿,21.44亿,1.39%,93.10亿,82.17亿
2017,,,17.94,,254.88,101.21%,4.28亿,48.95%,5.65,24.10亿,15.61亿,1.67%,72.82亿,49.87亿
2016,,,17.44,,126.68,25.14%,2.87亿,-36.10%,3.95,13.23亿,11.91亿,2.24%,39.50亿,27.57亿
2015,,,26.03,,101.23,38.55%,4.49亿,32.59%,2.95,9.89亿,9.92亿,4.42%,28.42亿,22.69亿
2014,,,16.88,,73.07,72.99%,3.39亿,134.27%,4.87,9.24亿,7.61亿,4.64%,23.35亿,18.75亿
2013,,,9.26,,42.24,48.23%,1.45亿,24.25%,4.95,2.62亿,4.63亿,3.42%,10.65亿,10.89亿
2012,,,2.89,,28.49,77.73%,1.16亿,54.04%,5.40,3.39亿,3.46亿,3.14%,12.13亿,5.94亿
2011,,,3.07,,12.33,14.01%,7556.06万,120.26%,5.18,3.14亿,2.56亿,6.23%,11.19亿,2.57亿
2010,,,4.43,,10.81,6.51%,3430.49万,1104.17%,4.83,2.24亿,1.85亿,3.22%,10.42亿,3.38亿
