报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,33.34,1.0,33.34,21.8126,0.382119,-15.91%,-182.75万,-139.28%,9.68,3.40亿,1.36亿,-4.92%,9.59亿,145.65万
2025,37.38,1.0,37.38,19.5707,1.91,-0.04%,1422.86万,61.53%,9.84,3.39亿,1.38亿,6.12%,9.76亿,141.54万
2024,35.65,1.0,35.65,18.6649,1.91,-12.17%,880.84万,-78.74%,10.13,5.55亿,1.36亿,2.19%,10.02亿,133.75万
2023,39.11,1.0,39.11,18.023,2.17,1.98%,4143.30万,-25.15%,10.85,7.75亿,1.64亿,17.02%,10.78亿,146.17万
2022,29.44,1.0,29.44,13.8216,2.13,-3.11%,5535.14万,-18.48%,10.92,8.78亿,1.76亿,25.43%,10.86亿,194.58万
2021,,,,,2.2,11.29%,6790.04万,32.79%,6.07,2.43亿,1.28亿,30.35%,4.51亿,353.81万
2020,,,,,1.97,-6.88%,5113.30万,-12.50%,5.14,1.77亿,6615.71万,24.10%,3.82亿,83.12万
2019,,,,,2.12,24.28%,5843.48万,118.63%,4.55,1.33亿,2878.19万,28.91%,3.40亿,375.37万
2018,,,,,1.71,45.53%,2672.80万,-21.66%,7.21,1.61亿,2811.86万,16.26%,2.46亿,295.88万
2017,,,,,1.17,False,3411.70万,False,2.60,3180.41万,2902.93万,29.10%,7396.71万,47.60万
