报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,19.206,0.7897,24.32,9.1218,0.526378,12.28%,-164.32万,-120.04%,3.93,1.40亿,9689.96万,-3.07%,3.12亿,7838.44万
2025,26.06,0.7897,33.0,13.7158,1.9,-15.42%,754.08万,-21.55%,3.95,1.45亿,9854.28万,3.99%,3.14亿,8368.69万
2024,26.692,0.7897,33.8,11.8631,2.25,5.35%,961.22万,-12.10%,4.16,1.47亿,1.16亿,4.41%,3.31亿,7057.14万
2023,9.129,0.7897,11.56,4.2859,2.13,-10.53%,1093.58万,-41.66%,4.25,1.61亿,1.23亿,5.17%,3.38亿,8497.45万
2022,3.948,0.7897,5.0,1.6519,2.39,3.27%,1874.64万,-37.81%,4.23,1.44亿,1.21亿,7.99%,3.36亿,7947.75万
2021,,,,,2.31,1.99%,3014.27万,-9.27%,3.47,7682.77万,1.13亿,13.12%,2.22亿,6669.32万
2020,,,,,2.26,-8.82%,3322.14万,-29.97%,3.22,1.24亿,9844.25万,14.86%,2.06亿,4357.12万
2019,,,,,2.48,6.36%,4744.03万,35.89%,3.00,1.12亿,8725.84万,19.27%,1.91亿,3585.61万
2018,,,,,2.34,9.43%,3491.01万,35.42%,2.45,6521.32万,5688.64万,14.95%,1.55亿,2826.53万
2017,,,,,2.13,-21.01%,2577.85万,-53.22%,2.13,7187.66万,3839.30万,13.34%,1.32亿,1962.62万
2016,,,,,2.7,13.75%,5510.32万,4.81%,5.15,9986.01万,3832.27万,20.39%,1.19亿,836.89万
2015,,,,,2.38,15.59%,5257.23万,429.95%,5.11,6463.17万,5595.28万,22.13%,1.17亿,30.19万
2014,,,,,2.05,False,992.02万,False,3.17,2388.54万,1155.60万,4.83%,7290.39万,76.26万
