报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,62.004,14.3527,4.32,21.2619,0.729051,-36.90%,-2859.75万,-3.89%,0.69,6778.54万,-37.49亿,-39.39%,9.83亿,1.69亿
2025,70.185,14.3527,4.89,20.1681,3.48,-40.52%,-1.57亿,24.45%,0.71,9907.46万,-37.20亿,-45.13%,10.12亿,1.90亿
2024,60.281,14.3527,4.2,10.3044,5.85,-28.96%,-2.07亿,26.44%,0.82,1.23亿,-35.63亿,-35.51%,11.70亿,2.63亿
2023,57.698,14.3527,4.02,7.0107,8.23,-27.95%,-2.82亿,39.91%,0.96,1.15亿,-33.56亿,-34.26%,13.78亿,3.91亿
2022,49.804,14.3527,3.47,4.3573,11.43,-33.16%,-4.69亿,-85.86%,1.16,1.31亿,-30.74亿,-41.13%,16.60亿,3.46亿
2021,87.982,14.3527,6.13,5.1451,17.1,75.98%,-2.52亿,80.82%,1.49,1.88亿,-26.05亿,-15.05%,21.32亿,4.67亿
2020,60.138,14.3527,4.19,6.187,9.72,-34.01%,-13.15亿,-4198.99%,1.67,2.26亿,-23.53亿,-135.94%,24.03亿,4.86亿
2019,55.114,14.3527,3.84,3.7442,14.72,3.28%,3209.04万,101.64%,2.65,4.43亿,-9.53亿,2.16%,38.23亿,4.47亿
2018,54.253,14.3527,3.78,3.8046,14.26,-35.80%,-19.59亿,-584.83%,2.62,5.71亿,-9.85亿,-137.82%,37.84亿,5.17亿
2017,,,7.35,,22.21,8.98%,4.04亿,18.83%,4.05,11.63亿,10.56亿,18.66%,58.51亿,4.00亿
2016,,,11.73,,20.38,50.25%,3.40亿,88.27%,3.81,11.78亿,7.21亿,17.08%,55.06亿,3.71亿
2015,,,17.8,,13.56,99.17%,1.81亿,95.10%,2.40,4.56亿,4.23亿,13.51%,29.89亿,2.90亿
2014,,,5.99,,6.81,26.07%,9258.46万,40.20%,4.40,3.20亿,2.63亿,13.60%,12.52亿,2.93亿
2013,,,3.97,,5.4,31.08%,6603.77万,30.19%,4.29,1.07亿,1.87亿,12.25%,5.56亿,9454.41万
2012,,,1.46,,4.12,17.57%,5072.57万,15.35%,5.77,7763.83万,1.32亿,12.87%,4.99亿,7749.81万
2011,,,,,3.5,40.33%,4397.65万,31.37%,2.63,1.16亿,9282.87万,13.67%,1.78亿,4516.85万
2010,,,,,2.5,87.18%,3347.53万,80.24%,1.92,9403.07万,5015.60万,14.13%,1.30亿,7623.32万
