报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,26.511,1.9323,13.72,4.6348,1.43,79.40%,-3363.21万,-789.84%,2.44,1.52亿,9306.03万,-29.56%,4.40亿,1.17亿
2025,25.661,1.9323,13.28,5.4137,4.74,70.90%,-864.88万,52.82%,2.62,1.58亿,1.27亿,-6.56%,4.83亿,1.18亿
2024,22.104,1.9322,11.44,7.9798,2.77,-55.02%,-1833.27万,-130.38%,2.73,1.72亿,1.47亿,-6.61%,5.27亿,7454.81万
2023,29.905,1.917,15.6,4.8547,6.16,19.27%,6033.76万,29.80%,2.82,2.48亿,1.85亿,11.76%,5.40亿,8282.95万
2022,20.932,1.8995,11.02,4.0487,5.17,86.66%,4648.34万,571.05%,2.89,2.47亿,1.43亿,10.54%,5.59亿,1.16亿
2021,22.413,1.885,11.89,8.0913,2.77,23.09%,692.70万,25.51%,2.57,2.31亿,1.06亿,2.62%,4.87亿,5779.75万
2020,24.242,1.872,12.95,10.7742,2.25,-2.01%,551.89万,-67.85%,2.56,2.35亿,1.09亿,2.20%,4.80亿,4777.05万
2019,37.017,1.8983,19.5,16.1646,2.29,-3.15%,1716.74万,10.25%,2.51,2.33亿,1.13亿,7.39%,4.76亿,3643.21万
2018,19.041,1.4726,12.93,8.0342,2.37,1.82%,1557.19万,-50.52%,3.18,1.62亿,1.04亿,6.57%,4.68亿,4410.05万
2017,,,13.15,,2.33,-3.36%,3147.30万,-45.18%,5.66,2.39亿,9734.96万,13.33%,4.53亿,3180.33万
2016,,,,,2.41,16.35%,5741.25万,9.02%,3.50,7127.43万,1.10亿,23.71%,2.10亿,2834.95万
2015,,,,,2.07,-22.31%,5266.04万,-37.54%,2.94,8219.31万,8236.46万,25.26%,1.77亿,1719.77万
2014,,,,,2.66,57.29%,8430.62万,61.33%,2.71,8529.56万,7415.58万,31.47%,1.64亿,2758.01万
2013,,,,,1.69,26.73%,5225.60万,29.98%,2.12,7922.25万,4735.17万,30.64%,1.29亿,2103.12万
2012,,,,,1.34,38.90%,4020.23万,47.80%,1.35,4074.94万,605.96万,29.85%,8150.76万,1216.04万
2011,,,,,0.961954,False,2720.00万,False,5.81,2214.16万,3744.80万,28.28%,5075.07万,1254.48万
