报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,67.315,3.5768,18.82,3.8955,4.32,17.95%,9789.13万,-6.13%,7.03,14.95亿,10.88亿,22.65%,25.14亿,3.08亿
2025,63.274,3.5768,17.69,3.6744,17.22,8.17%,4.55亿,2.83%,6.75,13.89亿,9.90亿,26.41%,24.16亿,2.83亿
2024,61.485,3.5768,17.19,3.8621,15.92,21.02%,4.42亿,15.30%,6.48,12.87亿,8.93亿,27.79%,23.19亿,2.74亿
2023,55.834,3.5768,15.61,4.2427,13.16,-11.32%,3.84亿,-9.06%,6.26,16.03亿,8.53亿,29.17%,22.38亿,2.36亿
2022,50.039,3.5768,13.99,3.3742,14.83,-28.09%,4.22亿,-12.70%,6.18,15.59亿,8.65亿,28.44%,22.10亿,2.79亿
2021,80.254,3.5716,22.47,3.8902,20.63,43.72%,4.83亿,34.81%,6.00,13.22亿,8.43亿,23.43%,21.42亿,4.28亿
2020,33.385,2.5388,13.15,2.3265,14.35,26.45%,3.59亿,31.62%,7.79,14.97亿,7.38亿,24.98%,19.75亿,2.86亿
2019,13.58,1.9455,6.98,1.1965,11.35,2.78%,2.72亿,22.05%,7.23,10.44亿,6.68亿,24.00%,13.92亿,2.18亿
2018,7.028,1.2395,5.67,0.6366,11.04,12.27%,2.23亿,18.48%,10.71,1.44亿,5.99亿,20.21%,13.27亿,2.36亿
2017,,,8.88,,9.84,20.66%,1.88亿,25.50%,15.55,1.90亿,4.60亿,19.15%,12.05亿,2.30亿
2016,,,,,8.15,6.54%,1.50亿,31.82%,10.01,8206.04万,3.63亿,18.41%,5.81亿,1.83亿
2015,,,,,7.65,2.79%,1.14亿,-1.06%,9.92,4720.55万,3.73亿,14.88%,5.76亿,1.76亿
2014,,,,,7.44,18.00%,1.15亿,47.32%,9.21,3926.12万,3.43亿,15.46%,5.35亿,2.21亿
2013,,,,,6.31,20.14%,7811.59万,13.94%,7.86,5338.72万,2.76亿,12.38%,4.57亿,2.13亿
2012,,,,,5.25,False,6855.98万,False,5.17,8387.63万,2.05亿,13.06%,3.00亿,2.20亿
