报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,26.981,0.84,32.12,2.4263,2.78,11.71%,3087.08万,5.21%,13.89,4.62亿,4.94亿,11.11%,11.72亿,1.12亿
2025,25.082,0.84,29.86,2.4002,10.45,14.89%,9985.44万,56.64%,13.47,4.60亿,4.63亿,9.57%,11.37亿,1.08亿
2024,15.313,0.84,18.23,1.6827,9.1,-1.03%,6374.63万,27.48%,12.53,3.94亿,4.14亿,7.00%,10.53亿,1.20亿
2023,19.438,0.84,23.14,2.1151,9.19,-13.10%,5000.67万,-38.05%,12.00,3.82亿,3.96亿,5.44%,10.08亿,1.52亿
2022,11.094,0.6,18.49,1.0486,10.58,35.10%,8072.69万,15.31%,16.42,4.28亿,3.83亿,7.63%,9.85亿,1.27亿
2021,16.434,0.6,27.39,2.0989,7.83,15.46%,7000.93万,-23.58%,16.51,4.12亿,3.37亿,8.94%,9.91亿,1.62亿
2020,20.04,0.6,33.4,2.9558,6.78,9.10%,9160.60万,15.23%,15.97,4.39亿,3.04亿,13.50%,9.58亿,6983.59万
2019,,,,,6.22,6.44%,7949.72万,12.29%,11.07,5311.97万,2.32亿,12.79%,4.98亿,8239.01万
2018,,,,,5.84,5.31%,7079.66万,40.87%,9.79,3027.65万,1.75亿,12.12%,4.41亿,8130.99万
2017,,,,,5.55,25.72%,5025.64万,74.41%,8.14,4121.06万,1.30亿,9.06%,3.38亿,5720.80万
2016,,,,,4.41,-1.53%,2881.55万,21.76%,6.55,3599.59万,1.06亿,6.54%,2.29亿,4379.31万
2015,,,,,4.48,-2.28%,2366.62万,-15.69%,6.25,2927.82万,9646.38万,5.74%,2.00亿,6782.17万
2014,,,,,4.59,-8.24%,2807.16万,6.65%,5.87,6763.74万,7654.90万,6.12%,1.95亿,6095.08万
2013,,,,,5.0,False,2632.18万,False,5.33,5602.41万,5968.41万,5.26%,1.77亿,4260.47万
