报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,236.474,138.289,1.71,5.4739,10.8,-16.89%,-1656.39万,-294.74%,0.53,12.29亿,-258.99亿,-1.48%,73.10亿,23.79亿
2025,264.132,138.289,1.91,5.0292,52.52,1.22%,1032.80万,20.46%,0.53,12.40亿,-258.82亿,0.24%,73.25亿,22.37亿
2024,324.415,138.6387,2.34,6.252,51.89,6.47%,857.37万,-91.64%,0.52,9.78亿,-258.92亿,0.23%,72.09亿,25.10亿
2023,257.868,138.6387,1.86,5.2907,48.74,16.60%,1.03亿,103.81%,0.51,10.57亿,-259.01亿,2.12%,70.80亿,26.44亿
2022,305.005,138.6387,2.2,7.2968,41.8,0.67%,-26.88亿,-133.95%,0.50,15.08亿,-260.03亿,-64.46%,69.84亿,27.51亿
2021,428.394,138.6387,3.09,10.3153,41.53,-23.27%,79.18亿,125.47%,0.72,24.19亿,-233.16亿,190.73%,99.68亿,31.95亿
2020,133.299,49.7386,2.68,2.463,54.12,-52.72%,-310.85亿,-566.96%,-2.72,5.52亿,-312.32亿,-512.69%,-104.10亿,57.09亿
2019,185.525,49.7386,3.73,1.6209,114.46,-32.93%,-46.61亿,-1344.53%,3.53,5.01亿,-1.58亿,-40.67%,206.51亿,314.08亿
2018,455.108,49.7386,9.15,2.6669,170.65,10.11%,3.74亿,-82.58%,5.07,18.35亿,52.27亿,5.80%,261.16亿,338.48亿
2017,,,21.98,,175.79,22.34%,21.50亿,-35.64%,5.84,42.07亿,77.28亿,15.46%,285.15亿,352.47亿
2016,,,17.38,,216.42,19.79%,33.40亿,21.17%,5.29,273.25亿,85.32亿,15.42%,293.83亿,126.19亿
2015,,,16.29,,180.67,13.28%,27.57亿,20.60%,3.59,158.18亿,65.84亿,15.26%,188.38亿,97.95亿
2014,,,7.5,,159.49,19.39%,22.86亿,21.60%,6.25,99.85亿,59.17亿,14.33%,167.19亿,73.69亿
2013,,,8.43,,133.59,19.65%,18.80亿,30.43%,5.47,84.97亿,44.34亿,14.08%,120.30亿,37.86亿
2012,,,6.1,,111.65,83.62%,14.41亿,43.40%,4.81,61.06亿,31.76亿,12.91%,105.83亿,35.60亿
2011,,,5.19,,60.81,83.77%,10.05亿,40.46%,4.21,63.23亿,19.83亿,16.53%,92.48亿,19.06亿
2010,,,7.71,,33.09,39.19%,7.16亿,42.67%,2.91,27.60亿,11.87亿,21.62%,49.26亿,11.44亿
