报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,59.907,3.9805,15.05,9.7252,1.54,-12.18%,-828.51万,-38.06%,2.62,1.16亿,3564.01万,-5.18%,10.46亿,1.66亿
2025,97.124,3.9805,24.4,14.3251,6.78,-27.83%,-3364.30万,-222.04%,2.66,1.06亿,4392.52万,-4.97%,10.60亿,1.73亿
2024,27.386,3.9805,6.88,2.9165,9.39,-14.05%,2756.63万,-41.58%,2.94,2.61亿,1.29亿,3.03%,11.75亿,2.02亿
2023,31.088,3.9805,7.81,2.8443,10.93,-14.62%,4718.69万,-42.96%,2.93,1.98亿,1.31亿,4.32%,11.69亿,1.97亿
2022,42.472,3.9805,10.67,3.3181,12.8,7.44%,8271.97万,3.10%,2.96,3.37亿,1.48亿,6.46%,11.79亿,2.05亿
2021,,,,,11.91,9.37%,8023.05万,10.58%,2.67,1.47亿,1.45亿,6.73%,7.96亿,1.79亿
2020,,,,,10.89,4.02%,7255.39万,8.06%,2.40,2.47亿,7443.29万,6.66%,7.17亿,1.40亿
2019,,,,,10.47,15.77%,6714.49万,0.35%,2.64,2.79亿,6767.02万,6.41%,7.89亿,1.06亿
2018,,,,,9.04,32.99%,6691.26万,42.87%,1.77,5003.30万,5774.44万,7.40%,3.75亿,9170.30万
2017,,,,,6.8,False,4683.39万,False,2.95,2990.22万,2.04亿,6.89%,4.08亿,2069.99万
