报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,117.201,6.0103,19.5,109.4297,0.267754,10.27%,3736.57万,14.00%,9.55,25.64亿,20.37亿,139.55%,57.42亿,2.63亿
2025,111.972,6.0103,18.63,9.3077,12.03,6.62%,1.83亿,-10.99%,9.49,23.26亿,19.99亿,15.21%,57.04亿,1.79亿
2024,100.973,6.0103,16.8,8.9515,11.28,-53.21%,2.06亿,-76.10%,10.00,20.81亿,22.92亿,18.22%,60.13亿,2.09亿
2023,154.985,6.0002,25.83,6.4309,24.1,32.03%,8.60亿,65.49%,10.44,22.40亿,24.62亿,35.68%,62.63亿,1.73亿
2022,109.803,4.0001,27.45,6.0133,18.26,-0.23%,5.20亿,-16.32%,13.74,20.19亿,18.08亿,28.46%,54.97亿,1.67亿
2021,,,,,18.3,-24.59%,6.21亿,-32.86%,7.80,9.57亿,14.11亿,33.94%,28.08亿,1.07亿
2020,,,,,24.26,131.30%,9.25亿,146.45%,6.08,8.65亿,8.53亿,38.12%,21.87亿,4526.96万
2019,,,,,10.49,30.68%,3.75亿,38.92%,12.62,5.01亿,11.12亿,35.78%,12.62亿,5579.38万
2018,,,,,8.03,181.75%,2.70亿,451.38%,8.87,1.43亿,7.37亿,33.65%,8.87亿,7841.08万
2017,,,,,2.85,False,-7688.16万,False,6.17,2658.67万,4.69亿,-26.98%,6.17亿,5961.52万
