报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,61.171,5.5661,10.99,3.5731,4.28,57.85%,-2867.27万,-18276.71%,2.45,7.33亿,2.79亿,-9.26%,15.95亿,6.90亿
2025,51.264,5.5661,9.21,3.198,16.03,51.99%,-2.75亿,-904.39%,2.43,6.27亿,3.08亿,-16.34%,15.95亿,4.84亿
2024,41.199,4.9458,8.33,3.9051,10.55,3.64%,-2736.66万,-148.17%,3.11,3.84亿,5.83亿,-3.43%,15.81亿,4.10亿
2023,38.983,4.9978,7.8,3.8294,10.18,-1.17%,5681.58万,-29.04%,3.14,2.14亿,6.62亿,4.68%,16.39亿,4.28亿
2022,33.035,4.9978,6.61,3.2073,10.3,10.71%,8006.81万,-12.54%,3.02,1.68亿,6.05亿,7.88%,15.88亿,4.04亿
2021,48.889,4.9938,9.79,5.2569,9.3,4.85%,9154.47万,-29.47%,2.86,2.28亿,5.25亿,10.34%,14.53亿,2.74亿
2020,50.912,4.7581,10.7,5.7398,8.87,12.25%,1.30亿,80.04%,2.53,2.46亿,4.50亿,16.20%,12.25亿,1.56亿
2019,18.474,2.4999,7.39,2.3385,7.9,36.20%,7208.74万,5.65%,4.35,1.79亿,3.27亿,10.47%,11.36亿,1.57亿
2018,11.569,2.2248,5.2,1.9947,5.8,13.04%,6823.29万,11.17%,3.46,8415.35万,2.63亿,11.71%,7.70亿,8318.55万
2017,,,7.71,,5.13,64.32%,6137.92万,279.22%,4.75,7597.52万,2.04亿,11.43%,7.10亿,6662.43万
2016,,,9.07,,3.12,38.39%,1618.58万,-38.12%,2.82,3395.91万,1.44亿,4.40%,3.94亿,3372.10万
2015,,,13.29,,2.26,-10.58%,2615.48万,-4.72%,2.67,5055.89万,1.29亿,10.78%,3.82亿,2938.85万
2014,,,6.66,,2.52,45.44%,2744.96万,52.01%,2.52,4507.15万,1.07亿,11.63%,3.77亿,3245.80万
2013,,,5.43,,1.74,8.34%,1805.81万,-21.78%,2.45,7504.69万,8690.00万,12.16%,3.61亿,2996.65万
2012,,,2.74,,1.6,24.49%,2308.52万,9.18%,4.73,1.11亿,7597.43万,16.71%,3.35亿,2182.92万
2011,,,2.78,,1.29,13.08%,2114.47万,1.69%,4.58,1.61亿,6018.45万,19.63%,3.29亿,1678.52万
2010,,,,,1.14,35.24%,2079.26万,68.41%,1.84,1383.52万,3989.05万,21.21%,1.09亿,1156.70万
