报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,25.468,1.3334,19.1,3.8126,1.67,-12.46%,-2082.99万,3.46%,2.27,8347.98万,-1.18亿,-13.40%,3.64亿,1.00亿
2025,18.921,1.3334,14.19,1.9771,9.57,-14.68%,-1.39亿,12.00%,2.38,1.72亿,-9736.54万,-15.75%,3.80亿,9043.81万
2024,17.041,1.3334,12.78,1.5202,11.21,-27.80%,-1.58亿,-51.70%,3.38,1.12亿,4136.03万,-15.89%,5.38亿,1.26亿
2023,19.508,1.3334,14.63,1.2561,15.53,-11.41%,-1.04亿,-996.53%,5.13,2.36亿,1.99亿,-7.80%,8.06亿,1.68亿
2022,17.868,1.3334,13.4,1.0193,17.53,-21.53%,-947.62万,-567.10%,5.80,3.45亿,3.04亿,-0.74%,9.69亿,2.06亿
2021,17.401,1.3334,13.05,0.7789,22.34,16.84%,202.87万,-97.25%,5.85,1.69亿,3.16亿,0.09%,8.60亿,2.15亿
2020,15.147,1.3334,11.36,0.7922,19.12,32.53%,7365.52万,6.71%,5.86,1.70亿,3.16亿,4.68%,8.61亿,1.81亿
2019,16.881,1.3334,12.66,1.1699,14.43,47.83%,6902.13万,13.00%,5.50,1.38亿,2.71亿,4.70%,7.63亿,1.39亿
2018,20.321,1.3334,15.24,2.0821,9.76,43.16%,6108.00万,2.34%,5.16,1.55亿,2.29亿,6.27%,7.04亿,9838.14万
2017,,,,,6.82,19.33%,5968.10万,-6.62%,3.33,2261.36万,1.90亿,8.65%,3.41亿,6408.22万
2016,,,,,5.71,-4.02%,6391.45万,24.87%,2.86,1891.94万,1.44亿,10.85%,2.94亿,4001.69万
2015,,,,,5.95,3.40%,5118.53万,-7.24%,2.37,4990.33万,9860.45万,8.50%,2.46亿,3715.50万
2014,,,,,5.76,23.19%,5517.83万,64.49%,2.00,1672.27万,6849.02万,9.68%,2.02亿,5832.99万
2013,,,,,4.67,False,3354.52万,False,5.73,2903.59万,5567.96万,7.18%,1.57亿,5031.29万
