报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,130.683,10.2256,12.78,5.672,5.76,-17.70%,7841.05万,-47.75%,4.13,21.08亿,23.23亿,14.92%,44.34亿,21.55亿
2025,171.892,10.2256,16.81,6.0782,28.28,-1.21%,5.64亿,7.54%,4.05,21.21亿,22.45亿,20.55%,43.51亿,21.44亿
2024,170.972,10.2256,16.72,5.9718,28.63,11.59%,5.24亿,-1.76%,3.68,19.91亿,19.91亿,19.01%,39.51亿,20.72亿
2023,149.907,10.2256,14.66,5.8443,25.65,19.11%,5.34亿,19.90%,3.34,11.34亿,17.62亿,21.55%,35.98亿,24.05亿
2022,136.408,10.2255,13.34,6.3328,21.54,1.93%,4.45亿,-9.24%,3.07,19.28亿,15.36亿,20.79%,33.47亿,19.12亿
2021,124.24,10.2255,12.15,5.8798,21.13,15.59%,4.90亿,20.96%,2.82,11.39亿,13.92亿,24.61%,30.48亿,16.35亿
2020,113.605,10.2255,11.11,6.2147,18.28,25.22%,4.05亿,32.00%,2.51,10.41亿,11.52亿,25.70%,27.16亿,15.11亿
2019,97.142,10.2255,9.5,6.6536,14.6,59.43%,3.07亿,68.67%,2.24,7.11亿,9.65亿,22.45%,23.73亿,14.11亿
2018,36.13,6.817,5.3,3.9443,9.16,16.18%,1.82亿,40.55%,3.03,5.01亿,9.91亿,17.89%,21.33亿,11.03亿
2017,,,5.82,,7.88,25.54%,1.30亿,17.96%,2.83,5.05亿,8.83亿,15.47%,20.11亿,6.06亿
2016,,,9.16,,6.28,-12.49%,1.10亿,-37.88%,2.67,3.20亿,8.15亿,17.21%,19.10亿,4.15亿
2015,,,17.18,,7.17,18.05%,1.77亿,-5.62%,2.56,3.76亿,7.64亿,24.43%,17.72亿,3.42亿
2014,,,8.41,,6.08,-20.42%,1.87亿,-9.63%,4.03,4.10亿,6.53亿,30.57%,16.43亿,4.26亿
2013,,,10.1,,7.64,2.98%,2.07亿,18.22%,3.67,2.82亿,5.33亿,27.14%,14.73亿,4.23亿
2012,,,4.98,,7.42,24.50%,1.75亿,16.49%,3.25,6.06亿,3.87亿,23.65%,13.03亿,4.88亿
2011,,,,,5.96,34.58%,1.51亿,18.32%,1.76,2.11亿,2.28亿,25.27%,6.34亿,4.10亿
2010,,,,,4.43,11.01%,1.27亿,19.77%,1.41,1.46亿,1.21亿,28.74%,5.07亿,2.90亿
