报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,182.684,11.1665,16.36,5.45,8.38,15.58%,2.38亿,41.32%,2.66,11.04亿,13.10亿,30.33%,32.93亿,7.03亿
2025,200.55,11.1665,17.96,6.6805,30.02,18.70%,7.10亿,21.54%,2.44,12.96亿,10.73亿,25.28%,30.61亿,6.37亿
2024,164.712,11.0917,14.85,6.5129,25.29,24.42%,5.84亿,44.08%,2.15,13.32亿,8.07亿,24.67%,27.17亿,5.14亿
2023,140.199,11.0917,12.64,6.8962,20.33,27.22%,4.05亿,-6.83%,1.95,12.56亿,5.99亿,21.54%,24.30亿,4.69亿
2022,137.633,9.2433,14.89,8.6128,15.98,6.16%,4.35亿,21.58%,2.20,9.78亿,6.00亿,28.56%,21.64亿,5.03亿
2021,187.813,9.261,20.28,12.4793,15.05,80.76%,3.58亿,67.00%,2.13,7.57亿,5.76亿,24.23%,20.19亿,3.76亿
2020,192.999,9.261,20.84,23.1691,8.33,-14.42%,2.14亿,-15.79%,1.96,7.63亿,4.56亿,26.01%,18.46亿,2.12亿
2019,65.108,9.2615,7.03,6.6915,9.73,-9.48%,2.55亿,-31.12%,1.94,8.56亿,4.68亿,26.25%,18.15亿,2.13亿
2018,74.212,9.2189,8.05,6.9034,10.75,1.67%,3.70亿,-6.79%,1.97,2.04亿,5.14亿,34.48%,18.36亿,2.66亿
2017,,,10.15,,10.57,53.30%,3.97亿,66.07%,4.20,2.44亿,6.26亿,37.58%,19.24亿,1.95亿
2016,,,13.29,,6.9,10.91%,2.39亿,28.84%,3.40,1.83亿,4.78亿,34.63%,15.39亿,1.06亿
2015,,,13.76,,6.22,-6.30%,1.85亿,-15.34%,3.27,3.22亿,4.39亿,29.81%,14.77亿,1.15亿
2014,,,,,6.64,-18.56%,2.19亿,-18.54%,2.29,3.01亿,4.18亿,32.88%,9.24亿,1.26亿
2013,,,,,8.15,48.95%,2.69亿,59.02%,2.30,1.94亿,4.02亿,33.35%,8.45亿,1.25亿
2012,,,,,5.47,-17.23%,1.69亿,-41.58%,1.78,5642.02万,2.40亿,31.59%,6.60亿,8175.50万
2011,,,,,6.61,False,2.89亿,False,1.83,1.38亿,2.77亿,43.79%,6.74亿,1.06亿
