报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,94.848,1.8087,52.44,9.3723,2.53,-17.54%,-1403.11万,20.30%,4.07,2.56亿,-3.79亿,-6.56%,7.41亿,9632.10万
2025,86.112,1.8087,47.61,6.5835,13.08,-14.13%,1194.08万,115.64%,4.15,2.35亿,-3.65亿,0.24%,7.58亿,8727.39万
2024,113.957,1.8204,62.6,7.4824,15.23,15.34%,-7635.02万,38.35%,3.99,2.36亿,-3.77亿,-5.48%,7.44亿,7712.46万
2023,143.731,1.8427,78.0,10.8805,13.21,40.52%,-1.24亿,44.54%,4.35,2.95亿,-3.01亿,-9.52%,8.26亿,1.20亿
2022,102.658,1.8497,55.5,10.9211,9.4,-15.74%,-2.23亿,36.96%,4.97,2.90亿,-1.77亿,-23.82%,9.38亿,7352.97万
2021,24.069,1.7935,13.42,2.1587,11.15,-19.08%,-3.54亿,-1246.97%,6.20,5.30亿,4662.20万,-31.82%,11.09亿,7953.57万
2020,27.992,1.3796,20.29,2.0313,13.78,-24.98%,3088.72万,-78.61%,11.00,7.60亿,4.52亿,2.26%,15.12亿,1.38亿
2019,,,,,18.37,33.38%,1.44亿,17.68%,7.54,3.90亿,4.24亿,7.86%,7.74亿,1.08亿
2018,,,,,13.78,20.66%,1.23亿,-12.39%,6.48,3.28亿,3.28亿,8.92%,6.65亿,7432.20万
2017,,,,,11.42,44.31%,1.40亿,129.51%,5.63,1.60亿,2.50亿,12.23%,5.77亿,7263.85万
2016,,,,,7.91,22.35%,6101.77万,3616.42%,4.27,1.48亿,1.25亿,7.59%,4.37亿,6826.35万
2015,,,,,6.47,3.50%,-173.52万,-113.95%,3.41,9597.55万,8708.66万,-0.39%,3.33亿,8375.47万
2014,,,,,6.25,False,1243.72万,False,3.42,1.54亿,9217.51万,2.01%,3.35亿,5570.31万
