报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,290.301,35.8839,8.09,2.642,27.47,-7.39%,553.08万,-98.28%,6.07,101.61亿,-4.28亿,2.06%,268.49亿,14.15亿
2025,232.887,35.8839,6.49,2.0622,112.93,-3.18%,3.74亿,-69.82%,6.07,97.97亿,-4.33亿,3.85%,267.92亿,13.37亿
2024,294.966,35.8839,8.22,2.5289,116.64,1.73%,12.40亿,87.55%,6.00,62.67亿,-27.42亿,10.55%,216.84亿,10.77亿
2023,242.216,35.8839,6.75,2.1127,114.65,27.86%,6.61亿,124.83%,5.65,54.60亿,-39.82亿,5.80%,204.55亿,8.90亿
2022,148.559,35.8839,4.14,1.6567,89.67,-40.95%,-26.62亿,-199.72%,5.47,89.92亿,-46.43亿,-29.69%,197.91亿,8.77亿
2021,244.728,35.8839,6.82,1.6115,151.86,45.23%,26.70亿,430.63%,6.22,93.81亿,-19.80亿,17.63%,224.53亿,13.87亿
2020,238.987,35.8839,6.66,2.2874,104.48,78.29%,-8.07亿,-1344.22%,5.48,69.27亿,-46.41亿,-8.78%,197.87亿,5.66亿
2019,150.712,35.8839,4.2,2.5719,58.6,203.75%,6489.64万,6.35%,5.71,56.86亿,-38.34亿,1.09%,207.04亿,7.56亿
2018,148.201,35.8839,4.13,7.6828,19.29,326.06%,6102.19万,2.24%,5.69,58.57亿,-38.99亿,2.50%,205.80亿,9.21亿
2017,,,7.39,,4.53,34.30%,5968.72万,121.90%,5.69,108.94亿,-39.60亿,5.66%,205.32亿,9300.14万
2016,,,8.99,,3.37,43.54%,-2.73亿,-642.68%,1.76,3.79亿,-40.19亿,-91.05%,14.26亿,7406.68万
2015,,,10.84,,2.35,47.22%,5021.58万,104.90%,2.12,3.57亿,-37.47亿,18.12%,17.23亿,1.16亿
2014,,,8.31,,1.6,-33.41%,-10.24亿,-1469.51%,1.92,5012.01万,-37.97亿,-717.12%,15.80亿,8826.42万
2013,,,8.24,,2.4,-3.66%,7479.56万,104.34%,2.78,6.41亿,-27.73亿,9.17%,19.58亿,1.27亿
2012,,,5.5,,2.49,-30.47%,-17.22亿,-232.70%,2.67,8.50亿,-28.48亿,-891.08%,19.36亿,1.24亿
2011,,,6.41,,3.58,-68.94%,-5.18亿,-4365.47%,5.01,14.89亿,-11.25亿,-158.61%,41.52亿,8829.95万
2010,,,19.12,,11.52,-12.09%,1213.73万,101.70%,5.70,19.63亿,-6.07亿,0.49%,46.99亿,2.02亿
