报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,44.96,2.9854,15.06,1.7841,6.3,11.12%,840.08万,200.93%,2.95,4.52亿,9413.53万,1.33%,8.79亿,4.18亿
2025,47.677,2.9854,15.97,2.063,23.11,-13.41%,-4.97亿,-5578.25%,3.01,5.74亿,8573.46万,-21.51%,8.98亿,4.83亿
2024,41.885,2.9854,14.03,1.5699,26.68,1.41%,907.18万,105.23%,4.92,4.37亿,5.94亿,0.34%,14.70亿,5.80亿
2023,35.772,2.9885,11.97,1.3596,26.31,74.09%,-1.73亿,-186.00%,5.27,4.03亿,5.91亿,-6.59%,14.70亿,8.37亿
2022,37.02,2.9711,12.46,2.45,15.11,6.72%,2.02亿,10.77%,5.25,7.29亿,7.95亿,13.34%,16.65亿,2.69亿
2021,63.053,2.9658,21.26,4.4529,14.16,34.48%,1.82亿,12.56%,4.56,2.22亿,6.34亿,12.85%,14.31亿,3.25亿
2020,22.425,1.9793,11.33,2.1296,10.53,4.39%,1.62亿,52.31%,5.93,1.88亿,4.88亿,15.35%,12.30亿,1.99亿
2019,15.226,1.98,7.69,1.509,10.09,4.50%,1.06亿,51.04%,5.37,1.83亿,3.51亿,10.52%,10.62亿,1.23亿
2018,13.042,2.0189,6.46,1.3515,9.65,26.47%,7028.17万,180.90%,4.74,1.46亿,2.63亿,7.28%,9.58亿,1.45亿
2017,,,11.34,,7.63,16.79%,2502.02万,-62.59%,4.57,1.37亿,2.02亿,3.28%,9.26亿,1.56亿
2016,,,11.07,,6.54,24.08%,6688.02万,-28.17%,6.91,5.13亿,1.94亿,10.23%,9.12亿,8527.12万
2015,,,,,5.27,16.90%,9311.41万,41.58%,3.87,2036.51万,1.33亿,17.68%,3.83亿,5384.68万
2014,,,,,4.51,16.69%,6576.94万,-29.81%,2.93,4050.11万,4968.60万,14.64%,2.90亿,4202.57万
2013,,,,,3.86,55.33%,9369.62万,112.42%,3.39,3292.90万,6186.41万,24.24%,2.24亿,3878.58万
2012,,,,,2.49,58.90%,4410.84万,47.28%,3.42,8790.17万,3848.07万,17.50%,2.26亿,3540.79万
2011,,,,,1.56,False,2994.93万,False,6.35,6213.11万,3731.26万,19.14%,1.47亿,4244.22万
