报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,1546.016,17.4199,88.75,1.5012,257.46,34.46%,7.54亿,0.89%,23.71,641.35亿,17.77亿,2.37%,421.70亿,19.57亿
2025,2107.111,17.4199,120.96,1.2766,1650.54,13.69%,59.57亿,0.18%,23.49,875.45亿,10.23亿,3.72%,418.58亿,24.47亿
2024,1995.023,15.0978,132.14,1.3742,1451.76,305.04%,59.46亿,342.72%,8.12,500.04亿,-26.70亿,3.27%,119.06亿,25.52亿
2023,1135.065,15.0739,75.3,3.1669,358.42,5.09%,-24.50亿,36.07%,7.55,142.95亿,-80.68亿,-11.60%,72.00亿,35.29亿
2022,591.725,14.9728,39.52,1.735,341.05,104.00%,-38.32亿,-110.09%,7.59,181.16亿,-56.06亿,-15.31%,98.02亿,39.93亿
2021,800.319,13.5993,58.85,4.7872,167.18,16.89%,-18.24亿,-5.51%,5.81,61.53亿,-17.13亿,-15.74%,77.29亿,27.73亿
2020,215.801,12.7844,16.88,1.5089,143.02,-21.12%,-17.29亿,-2690.76%,3.91,31.09亿,2.08亿,-15.62%,56.19亿,19.74亿
2019,105.462,9.3995,11.22,0.5816,181.32,-10.41%,6672.15万,-30.06%,5.64,48.67亿,20.00亿,0.47%,78.54亿,22.49亿
2018,157.425,9.3985,16.75,0.7778,202.4,-7.72%,9540.36万,-86.84%,5.52,46.85亿,19.98亿,2.51%,72.58亿,17.73亿
2017,,,19.38,,219.34,35.46%,7.25亿,41.14%,5.29,58.61亿,21.47亿,5.02%,58.24亿,13.38亿
2016,,,25.43,,161.92,53.42%,5.14亿,37.91%,4.31,37.78亿,16.95亿,3.92%,45.74亿,10.91亿
2015,,,,,105.54,12.07%,3.72亿,23.93%,3.46,17.25亿,12.90亿,3.68%,31.97亿,7.18亿
2014,,,,,94.18,13.64%,3.00亿,-17.84%,2.86,14.44亿,9.25亿,3.57%,27.30亿,8.13亿
2013,,,,,82.87,4.88%,3.66亿,0.28%,2.57,12.19亿,7.15亿,4.76%,24.71亿,8.95亿
2012,,,,,79.02,-18.79%,3.65亿,-24.68%,2.18,22.83亿,7.32亿,4.71%,21.21亿,7.65亿
2011,,,,,97.3,False,4.84亿,False,2.54,22.25亿,5.54亿,6.01%,18.69亿,7.21亿
