报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,52.293,12.5704,4.16,2.9116,4.49,3.44%,-2.79亿,-15.35%,1.42,7.30亿,-31.77亿,-61.93%,28.40亿,4.23亿
2025,51.413,12.5704,4.09,2.0217,25.43,-6.74%,-21.97亿,-122.26%,1.65,10.89亿,-28.91亿,-86.36%,31.22亿,3.90亿
2024,40.1,12.5704,3.19,1.4705,27.27,-15.53%,-9.88亿,-32.71%,3.40,13.29亿,-6.81亿,-36.25%,42.77亿,3.77亿
2023,47.139,12.5704,3.75,1.4603,32.28,-16.98%,-7.45亿,-1570.85%,4.19,10.28亿,3.07亿,-23.08%,52.63亿,3.53亿
2022,68.634,12.5704,5.46,1.7653,38.88,-17.71%,-4457.55万,-111.90%,4.78,12.45亿,10.52亿,-1.15%,60.11亿,3.33亿
2021,82.772,9.6696,8.56,1.7518,47.25,18.08%,3.75亿,-32.29%,6.31,16.76亿,11.44亿,7.93%,61.00亿,4.14亿
2020,90.217,9.6696,9.33,2.2549,40.01,23.06%,5.53亿,9.46%,6.01,23.67亿,9.02亿,13.82%,58.18亿,3.33亿
2019,64.568,8.2779,7.8,1.9861,32.51,45.98%,5.05亿,208.65%,4.59,7.43亿,3.48亿,15.52%,38.03亿,4.03亿
2018,31.704,8.2779,3.83,1.4236,22.27,21.77%,1.64亿,627.26%,4.08,5.66亿,-7023.95万,7.35%,33.85亿,3.34亿
2017,,,3.73,,18.29,32.97%,2251.83万,-72.61%,5.05,2.33亿,-2.34亿,1.27%,32.21亿,2.69亿
2016,,,5.08,,13.76,96.16%,8220.04万,1250.60%,5.02,4.15亿,-2.57亿,5.98%,31.94亿,2.94亿
2015,,,6.69,,7.01,147.61%,608.62万,104.76%,4.88,3.86亿,-3.39亿,0.87%,31.08亿,3.02亿
2014,,,4.63,,2.83,-37.40%,-1.28亿,-28.03%,2.44,1443.52万,-3.45亿,-45.14%,5.90亿,2.83亿
2013,,,3.21,,4.52,-35.82%,-9985.15万,-1555.17%,2.95,3580.66万,-2.17亿,-22.07%,7.12亿,2.49亿
2012,,,3.84,,7.05,8.43%,686.18万,-36.54%,2.06,5936.16万,-1.17亿,0.97%,2.92亿,1.78亿
2011,,,2.91,,6.5,17.60%,1081.30万,-26.92%,2.00,5749.65万,-1.24亿,1.66%,2.83亿,1.63亿
2010,,,4.81,,5.53,-0.59%,1479.67万,172.63%,1.92,9064.23万,-1.35亿,2.68%,2.72亿,1.49亿
