报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,226.52,25.2249,8.98,4.0249,14.07,-11.02%,8386.49万,-36.08%,6.65,66.04亿,59.52亿,9.51%,290.88亿,414.78亿
2025,295.131,25.2249,11.7,3.7184,79.37,-29.66%,9.69亿,-12.64%,6.62,77.48亿,58.68亿,13.56%,289.54亿,419.49亿
2024,249.727,25.2249,9.9,2.2129,112.85,57.17%,11.09亿,4.27%,6.50,66.37亿,54.94亿,16.03%,292.32亿,427.73亿
2023,243.168,25.2249,9.64,3.4424,70.64,17.55%,10.64亿,6.05%,6.27,71.52亿,49.96亿,20.35%,268.14亿,410.74亿
2022,283.528,25.2249,11.24,4.7263,59.99,-4.63%,10.03亿,-33.40%,6.05,56.42亿,44.97亿,22.22%,244.09亿,314.21亿
2021,345.833,25.2249,13.71,5.4973,62.91,59.29%,15.06亿,6.63%,6.09,32.00亿,43.53亿,29.66%,268.18亿,294.24亿
2020,319.094,21.0207,15.18,8.105,39.37,-0.51%,14.13亿,4.89%,6.91,29.63亿,35.81亿,41.50%,176.92亿,182.01亿
2019,386.991,21.0207,18.41,9.7972,39.5,-17.70%,13.47亿,10.12%,6.48,60.27亿,27.96亿,37.50%,162.86亿,169.07亿
2018,173.028,11.1992,15.45,3.6055,47.99,-6.90%,12.23亿,198.48%,6.08,32.73亿,16.13亿,22.17%,116.65亿,122.80亿
2017,,,16.58,,20.72,15.19%,4.10亿,1.59%,5.81,18.38亿,10.38亿,19.83%,74.76亿,68.38亿
2016,,,14.38,,17.99,12.10%,4.03亿,20.19%,4.56,12.10亿,6.82亿,21.60%,52.55亿,59.82亿
2015,,,17.08,,16.05,7.38%,3.36亿,183.86%,3.48,9.32亿,3.19亿,26.90%,45.74亿,51.32亿
2014,,,8.27,,8.39,-4.18%,1.18亿,881.79%,0.34,8.97亿,False,-5.79%,22.32亿,31.42亿
2013,,,5.18,,10.79,3.38%,1204.26万,19.34%,0.49,1.83亿,-4.53亿,1.12%,1.94亿,2.09亿
2012,,,4.71,,10.44,1.64%,1009.11万,60.60%,0.46,1.85亿,-4.65亿,1.01%,1.82亿,2.01亿
2011,,,5.05,,10.27,5.37%,628.34万,6.79%,0.43,1.69亿,-4.75亿,0.68%,1.72亿,2.01亿
2010,,,8.89,,9.75,-12.81%,588.36万,2.78%,0.42,1.78亿,-4.81亿,0.60%,1.66亿,1.76亿
