报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,49.441,11.0607,4.47,3.5015,3.53,2.19%,-649.18万,-218.25%,1.14,9.88亿,-5.48亿,-1.95%,13.05亿,653.67万
2025,48.225,11.0607,4.36,3.0388,15.87,1.87%,7400.12万,375.15%,1.15,11.38亿,-5.42亿,5.01%,13.11亿,659.91万
2024,28.164,8.5346,3.3,1.8077,15.58,-52.38%,1557.44万,124.74%,0.54,5.61亿,-6.16亿,1.29%,5.00亿,1824.36万
2023,29.615,8.5346,3.47,0.9051,32.72,-35.58%,-6295.91万,96.50%,0.52,12.10亿,-6.32亿,-0.47%,4.74亿,9588.22万
2022,32.517,8.5346,3.81,0.6401,50.8,-19.02%,-17.98亿,-1561.44%,0.40,31.26亿,-5.95亿,-55.88%,22.17亿,231.34亿
2021,30.383,8.5346,3.56,0.6358,47.79,5.93%,1.23亿,123.25%,2.54,41.71亿,12.04亿,0.71%,41.98亿,239.39亿
2020,25.604,8.5346,3.0,0.7517,34.06,-16.04%,-5.29亿,-341.31%,2.47,43.34亿,10.18亿,-24.93%,31.48亿,197.88亿
2019,32.09,8.5346,3.76,1.0885,29.48,-13.41%,2.19亿,-10.67%,3.77,30.10亿,21.17亿,9.05%,42.89亿,135.28亿
2018,36.443,8.5346,4.27,1.0703,34.05,-19.70%,2.45亿,-31.78%,3.63,15.44亿,19.32亿,8.12%,40.33亿,53.41亿
2017,,,6.01,,42.4,3.39%,3.60亿,7.99%,3.40,24.89亿,17.65亿,12.40%,38.69亿,49.01亿
2016,,,6.33,,41.01,23.19%,3.33亿,16.17%,3.62,25.34亿,15.94亿,8.53%,37.93亿,76.28亿
2015,,,8.09,,33.29,56.27%,2.87亿,6.53%,3.24,13.30亿,13.25亿,10.96%,34.75亿,76.16亿
2014,,,5.79,,21.3,-8.84%,2.69亿,-40.12%,2.91,7.58亿,11.02亿,12.54%,25.01亿,51.78亿
2013,,,3.79,,23.37,30.04%,4.50亿,30.57%,3.86,16.51亿,9.78亿,19.25%,19.37亿,29.35亿
2012,,,5.13,,17.97,48.23%,3.44亿,55.16%,4.58,14.56亿,7.87亿,19.16%,14.48亿,18.35亿
2011,,,2.0,,12.12,85.75%,2.22亿,68.52%,4.54,10.31亿,4.70亿,18.30%,11.04亿,16.31亿
2010,,,2.31,,6.53,23.00%,1.32亿,111.27%,4.71,8.29亿,2.60亿,20.18%,8.82亿,13.36亿
