报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,68.538,6.1249,11.19,1.8228,9.4,10.81%,9074.77万,2.06%,4.19,13.62亿,11.42亿,9.78%,26.14亿,4.61亿
2025,73.009,6.1249,11.92,1.961,37.23,5.61%,4.38亿,-6.33%,4.04,16.31亿,10.51亿,11.87%,25.24亿,4.28亿
2024,62.168,6.1249,10.15,1.7636,35.25,4.34%,4.68亿,14.63%,4.23,17.95亿,12.03亿,13.37%,26.37亿,3.64亿
2023,44.896,6.1249,7.33,1.3287,33.79,2.26%,4.08亿,12.46%,4.01,14.80亿,11.14亿,12.26%,25.05亿,3.03亿
2022,41.343,6.1249,6.75,1.2513,33.04,9.27%,3.63亿,14.85%,3.72,12.13亿,9.88亿,11.16%,23.25亿,3.44亿
2021,29.145,5.1402,5.67,0.9638,30.24,10.45%,3.16亿,4.25%,4.14,8.18亿,9.04亿,10.62%,21.71亿,3.33亿
2020,31.715,5.1402,6.17,1.1588,27.37,5.30%,3.03亿,12.60%,3.87,10.86亿,8.56亿,11.28%,20.31亿,2.43亿
2019,29.512,5.0362,5.86,1.1351,26.0,11.47%,2.69亿,19.44%,3.69,7.63亿,7.70亿,10.55%,18.95亿,2.67亿
2018,19.087,5.0362,3.79,0.8185,23.32,16.13%,2.25亿,9.66%,3.65,5.28亿,6.95亿,9.89%,18.73亿,3.06亿
2017,,,4.44,,20.08,5.46%,2.05亿,1.37%,5.25,3.77亿,6.43亿,10.52%,17.96亿,3.13亿
2016,,,5.74,,19.04,2.99%,2.03亿,6.68%,5.14,6.36亿,6.24亿,10.90%,17.56亿,2.79亿
2015,,,6.87,,18.49,6.92%,1.90亿,23.00%,4.93,5.90亿,5.71亿,10.22%,16.81亿,2.38亿
2014,,,2.88,,16.68,3.09%,1.54亿,-12.36%,4.72,4.73亿,4.90亿,9.20%,15.61亿,2.72亿
2013,,,2.86,,16.18,6.41%,1.76亿,-1.40%,4.55,5.52亿,4.49亿,10.86%,15.06亿,2.38亿
2012,,,3.22,,15.21,0.52%,1.79亿,20.92%,4.27,7.40亿,3.88亿,11.85%,14.14亿,2.31亿
2011,,,3.0,,15.13,18.54%,1.48亿,21.95%,4.61,3.39亿,2.81亿,9.77%,8.66亿,2.10亿
2010,,,3.75,,12.76,21.03%,1.21亿,20.40%,5.33,3.05亿,2.03亿,9.56%,7.71亿,1.88亿
