报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,267.565,17.0859,15.66,4.2498,15.74,-44.22%,5.36亿,-2.67%,7.82,35.58亿,111.03亿,36.36%,147.96亿,458.41万
2025,253.213,17.0859,14.82,3.7669,67.22,-12.68%,18.77亿,-1.57%,7.49,53.72亿,105.67亿,27.66%,142.05亿,448.70万
2024,282.13,16.5861,17.01,3.665,76.98,6.94%,19.07亿,14.91%,8.04,48.21亿,113.29亿,23.84%,179.03亿,443.70万
2023,168.846,16.5861,10.18,2.5463,66.31,27.37%,16.60亿,14.87%,7.63,39.48亿,105.29亿,25.31%,141.15亿,445.81万
2022,105.819,16.5861,6.38,2.0326,52.06,32.78%,14.45亿,-4.57%,7.19,47.31亿,98.75亿,27.16%,135.05亿,470.58万
2021,95.37,16.5861,5.75,2.4323,39.21,33.65%,15.14亿,74.19%,6.87,43.18亿,93.42亿,39.41%,119.45亿,539.47万
2020,80.111,16.5861,4.83,2.7304,29.34,-10.65%,8.69亿,-20.80%,6.80,34.02亿,82.09亿,32.89%,121.41亿,711.68万
2019,73.145,16.5861,4.41,2.4829,29.46,-0.69%,10.98亿,-2.27%,6.47,25.36亿,79.34亿,35.95%,115.70亿,568.20万
2018,72.15,16.5861,4.35,2.4317,29.67,3.69%,11.23亿,2.90%,6.07,25.26亿,72.51亿,36.96%,105.81亿,504.07万
2017,,,7.63,,28.61,14.50%,10.91亿,16.94%,5.65,18.29亿,64.97亿,37.94%,100.30亿,740.91万
2016,,,11.23,,24.99,2.97%,9.33亿,-0.49%,5.23,20.11亿,57.87亿,36.37%,94.20亿,527.64万
2015,,,8.97,,24.27,3.74%,9.38亿,8.94%,4.89,9.06亿,52.36亿,39.86%,89.07亿,528.73万
2014,,,4.07,,23.4,0.41%,8.61亿,1.53%,4.58,5.60亿,46.79亿,37.09%,84.50亿,261.70万
2013,,,2.46,,23.3,4.84%,8.48亿,11.42%,4.26,9.04亿,41.83亿,39.36%,78.94亿,382.40万
2012,,,2.4,,22.23,-2.83%,7.61亿,-12.36%,3.95,7.63亿,36.67亿,37.71%,73.20亿,355.45万
2011,,,2.36,,22.87,4.49%,8.68亿,10.91%,3.78,6.03亿,32.54亿,42.19%,67.38亿,341.34万
2010,,,3.21,,21.21,19.08%,7.83亿,16.25%,3.47,7.57亿,27.68亿,40.85%,60.26亿,376.13万
