报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,50.815,4.5089,11.27,1.719,7.39,24.16%,7124.67万,5.48%,3.27,6.80亿,5.27亿,9.64%,14.84亿,3.16亿
2025,51.356,4.5089,11.39,2.1022,24.43,1.28%,2.43亿,-16.68%,3.11,8.07亿,4.56亿,9.92%,14.13亿,2.69亿
2024,59.927,4.5092,13.29,2.4845,24.12,16.79%,2.91亿,39.01%,3.15,10.58亿,4.13亿,12.17%,14.30亿,3.17亿
2023,51.918,4.5107,11.51,2.5142,20.65,41.26%,2.10亿,68.17%,2.90,7.47亿,3.25亿,10.27%,13.13亿,3.67亿
2022,44.07,4.032,10.93,3.0144,14.62,31.59%,1.25亿,46.72%,2.40,3.96亿,2.33亿,8.35%,9.81亿,3.01亿
2021,39.756,4.032,9.86,3.5784,11.11,22.21%,8493.89万,-17.76%,2.19,4.65亿,1.82亿,7.55%,8.90亿,1.70亿
2020,52.841,4.0001,13.21,5.8131,9.09,1.60%,1.03亿,-12.78%,2.17,4.39亿,1.84亿,11.36%,8.68亿,2.08亿
2019,,,,,8.95,11.17%,1.18亿,2.85%,1.79,3.75亿,1.32亿,13.23%,6.45亿,1.02亿
2018,,,,,8.05,4.99%,1.15亿,52.17%,1.61,2.86亿,7805.48万,14.30%,5.80亿,1.78亿
2017,,,,,7.67,93.16%,7566.19万,192.58%,2.54,2.77亿,1959.40万,9.87%,5.08亿,1.48亿
2016,,,,,3.97,False,2585.99万,False,1.94,1.39亿,1983.92万,6.52%,3.85亿,5924.21万
