报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,114.887,21.7589,5.28,1.369,20.98,5.98%,3.10亿,3.43%,6.02,47.82亿,65.21亿,14.76%,130.89亿,3.91亿
2025,91.17,21.7589,4.19,1.0559,86.34,9.23%,10.24亿,45.21%,5.87,46.78亿,62.11亿,11.87%,127.65亿,2.99亿
2024,93.128,21.7589,4.28,1.1782,79.04,-23.08%,7.06亿,-20.60%,5.61,44.58亿,56.22亿,8.93%,122.05亿,3.23亿
2023,87.471,21.7589,4.02,0.8513,102.75,9.13%,8.89亿,385.17%,5.57,48.09亿,56.45亿,8.65%,121.28亿,2.98亿
2022,127.725,21.7589,5.87,1.3566,94.15,0.05%,1.83亿,-77.78%,5.19,60.56亿,49.16亿,1.95%,112.88亿,5.21亿
2021,114.887,21.7589,5.28,1.2208,94.11,31.44%,8.24亿,-54.65%,5.13,49.85亿,48.43亿,8.76%,111.84亿,3.49亿
2020,135.123,21.7589,6.21,1.8872,71.6,27.24%,18.18亿,105.83%,5.01,46.75亿,47.70亿,25.39%,109.00亿,1.85亿
2019,100.526,21.7589,4.62,1.7865,56.27,46.75%,8.83亿,90.80%,4.37,36.15亿,34.48亿,15.70%,95.02亿,4.42亿
2018,117.933,21.7589,5.42,3.076,38.34,52.46%,4.63亿,348.81%,4.07,33.99亿,28.73亿,12.06%,88.60亿,3.71亿
2017,,,6.42,,25.15,-28.96%,1.03亿,-84.71%,3.90,21.49亿,25.13亿,4.10%,84.86亿,7677.58万
2016,,,7.39,,35.4,-0.96%,6.75亿,4.69%,3.79,40.12亿,25.25亿,19.06%,82.39亿,1.85亿
2015,,,7.58,,35.74,-23.91%,6.44亿,-36.92%,2.93,12.69亿,23.55亿,18.03%,50.58亿,9886.95万
2014,,,4.74,,46.97,-16.95%,10.21亿,-7.75%,2.90,23.00亿,22.97亿,21.75%,50.14亿,1.28亿
2013,,,3.75,,56.56,43.15%,11.07亿,145.36%,2.66,21.02亿,18.95亿,19.58%,45.86亿,4.88亿
2012,,,3.07,,39.51,12.39%,4.51亿,165.45%,2.22,4.41亿,11.07亿,11.42%,38.31亿,9.05亿
2011,,,2.06,,35.15,14.18%,1.70亿,-48.57%,1.92,5.29亿,8.21亿,4.84%,33.07亿,14.01亿
2010,,,3.71,,30.79,4.69%,3.31亿,-40.73%,1.85,11.94亿,7.70亿,10.74%,31.89亿,2.40亿
