报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,66.096,4.6416,14.24,29.3208,0.563559,0.82%,1308.59万,208.25%,6.83,8.83亿,5.80亿,22.43%,32.04亿,598.18万
2025,54.771,4.6416,11.8,15.6937,3.49,3.67%,7213.78万,6.39%,6.80,8.71亿,5.66亿,19.12%,31.90亿,404.35万
2024,43.677,4.6416,9.41,12.9605,3.37,15.15%,6780.20万,37.07%,6.69,6.07亿,5.25亿,18.44%,31.72亿,1342.29万
2023,44.234,4.6416,9.53,15.1486,2.92,-30.48%,4946.66万,-28.46%,6.83,7.12亿,5.03亿,14.77%,34.71亿,787.35万
2022,61.316,4.6416,13.21,14.5644,4.21,-13.88%,6914.37万,-42.25%,6.76,7.52亿,4.60亿,16.20%,34.58亿,442.18万
2021,40.614,4.6416,8.75,8.4967,4.78,53.88%,1.20亿,22.32%,6.71,8.37亿,4.45亿,24.64%,31.39亿,407.76万
2020,31.516,4.6416,6.79,10.1338,3.11,27.48%,9787.99万,-29.25%,6.55,11.36亿,3.80亿,31.27%,30.85亿,6506.80万
2019,30.31,4.6416,6.53,12.4221,2.44,-8.56%,1.38亿,46.23%,6.39,12.97亿,3.14亿,53.40%,30.10亿,6496.90万
2018,26.828,4.6416,5.78,10.0479,2.67,9.09%,9461.50万,6.30%,6.15,7.14亿,2.11亿,27.77%,29.75亿,6538.97万
2017,,,8.94,,2.44,-13.21%,8900.81万,-36.65%,6.00,6.49亿,1.50亿,31.86%,29.24亿,7765.74万
2016,,,13.48,,2.82,2.03%,1.40亿,9.21%,5.86,4.75亿,9452.45万,48.03%,28.47亿,5826.39万
2015,,,17.68,,2.76,1.79%,1.29亿,-33.65%,5.55,2.49亿,-3363.32万,46.08%,26.98亿,1724.08万
2014,,,7.7,,2.71,12.93%,1.94亿,22.62%,5.28,2.76亿,-1.62亿,71.07%,24.95亿,1035.38万
2013,,,6.78,,2.4,-6.76%,1.58亿,1.10%,4.86,2.20亿,-3.56亿,65.47%,22.74亿,202.90万
2012,,,7.15,,2.58,36.95%,1.56亿,88.66%,4.52,2.52亿,-5.14亿,60.71%,20.97亿,206.54万
2011,,,,,1.88,-67.96%,8289.58万,229.73%,4.18,1.95亿,-6.71亿,44.07%,19.41亿,127.64万
2010,,,7.33,,5.87,-7.32%,2514.05万,105.09%,4.00,6866.24万,-7.54亿,4.25%,18.58亿,False
