报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,139.53,19.9044,7.01,1.1177,31.21,27.03%,2.60亿,4.94%,3.13,33.75亿,32.51亿,9.07%,97.35亿,27.02亿
2025,132.165,19.9044,6.64,1.306,101.2,13.48%,4.76亿,18.20%,3.00,40.71亿,29.91亿,5.07%,93.98亿,33.80亿
2024,97.45,19.9284,4.89,1.0927,89.18,-4.74%,4.02亿,12.03%,2.84,36.16亿,26.58亿,5.84%,91.08亿,25.64亿
2023,88.899,19.9325,4.46,0.9497,93.61,26.98%,3.59亿,144.70%,2.63,38.91亿,22.87亿,5.60%,86.49亿,18.60亿
2022,92.758,19.6938,4.71,1.2582,73.72,12.86%,1.47亿,254.04%,2.45,31.85亿,19.28亿,5.17%,81.05亿,18.78亿
2021,106.543,19.6938,5.41,1.6308,65.33,-3.73%,4145.27万,92.37%,2.31,36.00亿,17.81亿,3.38%,84.56亿,17.42亿
2020,99.06,19.6938,5.03,1.4598,67.86,-38.75%,2154.89万,102.03%,2.32,33.61亿,17.40亿,2.06%,89.94亿,15.52亿
2019,85.471,19.6938,4.34,0.7715,110.78,-25.16%,-10.60亿,-985.32%,2.44,41.94亿,17.19亿,-10.50%,85.24亿,31.31亿
2018,71.095,19.6938,3.61,0.4803,148.02,-4.05%,1.20亿,-40.43%,2.63,40.82亿,22.11亿,1.67%,92.57亿,40.35亿
2017,,,6.33,,154.27,-19.29%,2.01亿,-32.10%,2.57,26.19亿,21.33亿,2.39%,67.12亿,46.57亿
2016,,,7.84,,191.14,-2.51%,2.96亿,-17.87%,2.56,22.70亿,19.73亿,1.79%,66.45亿,44.55亿
2015,,,7.28,,196.07,7.59%,3.60亿,35.69%,4.78,36.91亿,17.10亿,1.57%,64.34亿,46.45亿
2014,,,7.17,,182.24,2.00%,2.66亿,224.49%,4.58,20.22亿,14.13亿,1.76%,63.23亿,32.78亿
2013,,,5.24,,178.66,23.16%,8185.84万,-59.59%,4.32,18.33亿,11.86亿,0.97%,62.83亿,32.46亿
2012,,,8.61,,145.06,44.82%,2.03亿,-48.49%,3.21,18.69亿,12.13亿,1.55%,44.93亿,32.14亿
2011,,,7.24,,100.17,68.23%,3.93亿,637.93%,3.10,15.13亿,11.00亿,5.06%,41.90亿,24.17亿
2010,,,11.04,,59.54,28.73%,5329.62万,-38.77%,3.10,11.90亿,8.54亿,5.32%,38.30亿,15.60亿
