报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,105.188,1.8878,55.72,2.4349,10.8,23.66%,697.28万,-47.55%,9.07,5.39亿,4.62亿,1.10%,18.48亿,4.31亿
2025,70.037,1.8878,37.1,1.8187,38.51,10.65%,3042.23万,-67.93%,9.07,7.62亿,4.55亿,0.99%,18.44亿,4.51亿
2024,39.096,1.5651,24.98,1.1231,34.81,22.23%,9487.02万,-21.25%,8.93,8.96亿,4.57亿,2.94%,17.38亿,4.66亿
2023,28.72,1.56,18.41,1.0084,28.48,74.03%,1.20亿,72.30%,6.60,3.06亿,4.02亿,4.70%,10.82亿,2.87亿
2022,40.154,1.56,25.74,2.4544,16.36,30.48%,6991.30万,16.95%,5.85,3.00亿,3.10亿,4.51%,9.45亿,1.45亿
2021,23.774,1.56,15.24,1.8959,12.54,32.28%,5978.09万,25.90%,5.54,2.72亿,2.64亿,4.81%,8.93亿,1.32亿
2020,,,,,9.48,4.39%,4748.46万,-13.19%,5.20,8184.82万,2.21亿,5.00%,6.38亿,1.03亿
2019,,,,,9.08,-2.83%,5470.18万,7.96%,4.79,1.10亿,1.78亿,6.47%,5.90亿,6213.72万
2018,,,,,9.35,26.78%,5067.07万,17.02%,4.33,9257.03万,1.27亿,5.78%,5.29亿,1.02亿
2017,,,,,7.37,16.20%,4330.13万,-8.43%,4.00,1.22亿,9246.64万,6.50%,4.88亿,7968.00万
2016,,,,,6.34,-3.11%,4728.54万,-3.98%,3.18,6373.26万,5559.72万,8.31%,3.38亿,6414.06万
2015,,,,,6.55,3.97%,4924.68万,14.89%,2.67,5563.86万,1097.69万,7.76%,2.84亿,8020.60万
2014,,,,,6.32,14.08%,4286.55万,16.10%,3.79,7141.94万,1.38亿,7.12%,2.32亿,1.31亿
2013,,,,,5.54,False,3692.08万,False,3.24,6275.35万,1.09亿,6.97%,2.00亿,1.25亿
