报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,64.124,3.891,16.48,1.4734,10.88,26.29%,5517.72万,9.39%,7.82,3.62亿,8.74亿,5.03%,31.05亿,7.92亿
2025,58.015,3.891,14.91,1.4621,39.68,16.75%,2.01亿,2.20%,7.83,7.38亿,8.19亿,5.26%,31.06亿,6.72亿
2024,52.801,3.891,13.57,1.5539,33.98,37.06%,1.97亿,-8.14%,7.40,10.80亿,7.13亿,5.84%,29.04亿,6.06亿
2023,54.552,3.891,14.02,2.2006,24.79,8.31%,2.14亿,19.34%,7.24,14.01亿,6.85亿,8.60%,28.40亿,5.03亿
2022,,,,,22.89,-6.56%,1.79亿,10.52%,3.27,1.15亿,5.48亿,7.82%,9.55亿,3.61亿
2021,,,,,24.5,63.14%,1.62亿,32.64%,2.63,1.72亿,3.81亿,6.63%,7.68亿,4.30亿
2020,,,,,15.02,20.35%,1.22亿,5.38%,2.09,1.22亿,2.33亿,8.15%,6.11亿,3.21亿
2019,,,,,12.48,-2.85%,1.16亿,106.73%,1.68,7669.57万,1.22亿,9.32%,4.89亿,1.76亿
2018,,,,,12.84,8.12%,5612.91万,53.68%,1.10,1.11亿,1714.79万,4.09%,3.29亿,2.90亿
2017,,,,,11.88,False,3652.39万,False,1.23,1.52亿,-3324.49万,3.43%,3.78亿,2.55亿
