报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,61.835,11.3876,5.43,1.8144,8.52,49.06%,2840.25万,166.86%,1.89,16.15亿,-2.60亿,2.01%,22.47亿,10.40亿
2025,64.651,11.4225,5.66,2.1695,29.8,-7.66%,-3.87亿,-523.91%,1.87,13.39亿,-2.88亿,-17.70%,22.46亿,9.33亿
2024,51.173,11.4225,4.48,1.5858,32.27,-5.76%,9128.86万,32.77%,2.35,22.50亿,1.21亿,-2.60%,29.03亿,9.21亿
2023,56.427,11.4225,4.94,1.648,34.24,25.00%,6875.85万,113.22%,2.33,12.22亿,1.28亿,2.22%,30.71亿,11.00亿
2022,57.435,11.4184,5.03,2.0969,27.39,-14.34%,3224.80万,-65.45%,2.29,8.06亿,7580.33万,1.24%,26.33亿,7.02亿
2021,68.233,11.4102,5.98,2.1336,31.98,22.96%,9334.40万,-57.29%,2.29,8.31亿,1.02亿,2.92%,26.36亿,9.07亿
2020,51.449,11.3323,4.54,1.978,26.01,-11.56%,2.19亿,178.31%,2.29,9.97亿,1.28亿,8.50%,26.13亿,6.08亿
2019,69.58,11.3323,6.14,2.3667,29.4,47.47%,-2.79亿,-993.75%,2.10,11.70亿,-1.05亿,-9.51%,23.96亿,10.18亿
2018,40.116,11.3323,3.54,2.0118,19.94,-9.66%,3122.58万,-77.32%,2.51,7.20亿,2.97亿,1.52%,28.57亿,10.25亿
2017,,,7.23,,22.07,-12.22%,1.38亿,-33.87%,2.62,6.83亿,3.88亿,6.24%,29.78亿,7.68亿
2016,,,7.43,,25.14,-9.61%,2.08亿,2.68%,2.68,8.31亿,4.30亿,8.28%,30.41亿,10.93亿
2015,,,8.6,,27.81,18.18%,2.03亿,2.53%,2.49,4.70亿,4.11亿,7.29%,28.19亿,9.11亿
2014,,,4.66,,23.54,28.59%,1.98亿,-8.07%,6.22,6.35亿,4.25亿,8.40%,28.21亿,9.66亿
2013,,,4.31,,18.3,10.79%,2.15亿,43.17%,6.08,6.23亿,3.92亿,11.75%,27.57亿,6.89亿
2012,,,2.46,,16.52,29.01%,1.50亿,37.89%,11.75,14.57亿,3.08亿,9.09%,25.81亿,6.07亿
2011,,,2.52,,12.81,-0.79%,1.09亿,-34.19%,11.27,13.66亿,2.17亿,8.51%,24.74亿,5.28亿
2010,,,,,12.91,13.39%,1.66亿,25.48%,3.59,2.90亿,1.96亿,12.83%,5.91亿,5.36亿
