报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,107.874,19.721,5.47,1.4201,18.99,8.17%,-1.46亿,-16.93%,2.72,4.08亿,9.69亿,-7.71%,53.67亿,36.74亿
2025,115.171,19.721,5.84,1.4798,77.83,-8.26%,-8.05亿,-820.76%,2.80,6.23亿,11.15亿,-10.34%,55.12亿,33.96亿
2024,113.987,19.721,5.78,1.3436,84.84,-1.06%,1.12亿,-69.18%,3.22,16.69亿,19.55亿,1.32%,63.50亿,30.49亿
2023,189.124,19.721,9.59,2.2055,85.75,9.72%,3.62亿,84.43%,3.25,14.20亿,19.65亿,4.23%,64.18亿,26.85亿
2022,278.461,19.721,14.12,3.5632,78.15,5.40%,1.96亿,-74.92%,3.07,23.38亿,16.38亿,2.51%,60.54亿,25.49亿
2021,482.178,19.721,24.45,6.5036,74.14,18.21%,7.83亿,42.02%,2.97,20.91亿,14.59亿,10.57%,58.59亿,21.87亿
2020,290.096,19.721,14.71,4.6253,62.72,9.26%,5.52亿,82.64%,2.55,19.50亿,7.54亿,8.79%,50.71亿,15.86亿
2019,64.29,19.721,3.26,1.1198,57.41,-1.82%,3.02亿,-88.42%,2.27,13.59亿,2.20亿,5.26%,44.76亿,16.02亿
2018,48.711,19.721,2.47,0.833,58.48,17.32%,26.07亿,294.93%,2.11,4.36亿,-5037.69万,44.59%,41.70亿,15.22亿
2017,,,5.53,,49.84,6.56%,-13.38亿,-2932.93%,-0.87,22.25亿,-26.57亿,-26.84%,-11.27亿,12.38亿
2016,,,6.78,,46.78,2.63%,-4410.20万,-122.42%,1.53,18.86亿,-13.19亿,2.38%,2.11亿,17.39亿
2015,,,9.2,,45.58,-16.41%,1.97亿,318.94%,1.48,27.85亿,3.57亿,4.32%,19.19亿,24.10亿
2014,,,11.13,,54.53,-0.13%,4696.02万,102.51%,3.36,26.05亿,4.15亿,0.86%,17.49亿,21.31亿
2013,,,2.28,,54.6,11.15%,2318.94万,13.16%,3.29,27.18亿,3.83亿,0.42%,17.12亿,21.73亿
2012,,,1.95,,49.12,-9.34%,2049.33万,-20.03%,3.27,19.80亿,3.74亿,0.42%,16.99亿,27.10亿
2011,,,1.56,,54.18,2.57%,2562.74万,-17.73%,3.25,15.33亿,3.66亿,0.47%,16.89亿,20.98亿
2010,,,2.66,,52.82,26.44%,3115.03万,17.07%,3.20,8.32亿,3.43亿,0.59%,16.63亿,17.65亿
