报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,84.522,1.5687,53.88,74.3192,0.284321,36.96%,-7258.82万,-24.40%,11.21,8.24亿,-4.49亿,-257.64%,17.55亿,2.76亿
2025,105.636,1.5687,67.34,37.0653,2.85,21.17%,-2.91亿,-8.56%,11.67,2.52亿,-3.76亿,-104.43%,18.28亿,2.70亿
2024,22.556,1.0575,21.33,9.5983,2.35,-0.39%,-2.68亿,-31.94%,20.57,7.35亿,-8516.87万,-118.40%,21.55亿,2.79亿
2023,27.537,1.0575,26.04,11.6682,2.36,1.28%,-2.03亿,-3.38%,23.22,13.39亿,1.83亿,-93.75%,24.36亿,2.98亿
2022,25.697,1.0575,24.3,11.0288,2.33,-62.20%,-1.97亿,-210.15%,25.43,15.38亿,3.86亿,-83.99%,26.88亿,3.23亿
2021,49.283,0.7553,65.25,7.9875,6.17,-6.81%,1.78亿,0.81%,39.10,17.04亿,6.58亿,28.90%,29.59亿,2.95亿
2020,47.758,0.7553,63.23,7.2913,6.55,-2.88%,1.77亿,-18.77%,37.66,18.71亿,5.35亿,26.83%,28.44亿,3.16亿
2019,,,,,6.74,22.31%,2.18亿,5.12%,13.36,2454.58万,3.67亿,32.10%,7.58亿,2.09亿
2018,,,,,5.51,1538.07%,2.07亿,670.40%,6.62,6692.33万,1.59亿,37.21%,3.66亿,1.03亿
2017,,,,,0.336604,False,-3635.26万,False,2.83,4588.41万,-2983.37万,-109.29%,1.61亿,6484.21万
