报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,28.043,5.992,4.68,15.2684,0.459168,-25.96%,-607.60万,-388.88%,1.71,2531.39万,-4.42亿,-13.25%,10.26亿,226.49万
2025,28.282,5.992,4.72,11.4502,2.47,-16.07%,1552.97万,13.75%,1.72,5590.26万,-4.36亿,6.26%,10.31亿,167.01万
2024,36.611,5.992,6.11,12.4105,2.95,-24.15%,1365.26万,105.99%,1.69,1870.22万,-4.51亿,4.65%,10.16亿,189.31万
2023,20.957,6.3314,3.31,5.4013,3.88,-12.94%,-2.28亿,61.84%,1.82,2749.07万,-4.65亿,-65.86%,11.55亿,201.47万
2022,17.601,6.3314,2.78,3.9464,4.46,-23.09%,-5.97亿,-110.71%,2.17,3877.88万,-2.37亿,-161.69%,13.91亿,8320.53万
2021,25.199,6.3314,3.98,4.3447,5.8,-19.59%,-2.83亿,-690.81%,3.12,6622.58万,3.65亿,-62.70%,21.21亿,1.26亿
2020,22.867,6.3874,3.58,3.1716,7.21,-23.40%,4794.33万,-34.72%,3.58,1.95亿,6.63亿,6.56%,25.14亿,1.69亿
2019,24.049,6.4302,3.74,2.5557,9.41,-0.05%,7344.77万,-25.28%,3.51,3.11亿,6.45亿,9.75%,24.88亿,1.41亿
2018,22.265,6.4725,3.44,2.3636,9.42,39.45%,9829.27万,-5.66%,3.47,3.64亿,6.35亿,13.82%,24.55亿,1.14亿
2017,,,6.68,,6.75,68.75%,1.04亿,29.87%,4.93,4.73亿,6.17亿,18.42%,24.57亿,6899.96万
2016,,,11.32,,4.0,5.41%,8022.59万,9.01%,4.80,4.03亿,5.62亿,20.05%,22.21亿,155.31万
2015,,,17.31,,3.8,-12.94%,7359.41万,-33.75%,3.31,3.14亿,5.26亿,19.38%,13.60亿,122.94万
2014,,,,,4.36,24.24%,1.11亿,-7.40%,2.78,4.76亿,4.55亿,25.47%,9.76亿,120.21万
2013,,,,,3.51,-4.20%,1.20亿,18.33%,2.47,5.14亿,3.46亿,34.18%,8.65亿,70.74万
2012,,,,,3.66,47.26%,1.01亿,75.41%,2.13,2.65亿,2.30亿,27.67%,7.45亿,60.16万
2011,,,,,2.49,False,5779.83万,False,1.84,5.77亿,1.31亿,23.23%,6.44亿,62.33万
