报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,194.91,4.0254,48.42,5.3312,9.14,15.24%,2.01亿,28.68%,8.29,13.50亿,21.90亿,21.96%,33.36亿,5.96亿
2025,143.663,4.0253,35.69,4.3653,32.91,11.49%,6.68亿,30.60%,7.84,15.56亿,19.89亿,20.29%,31.55亿,5.59亿
2024,82.658,4.0164,20.58,2.8001,29.52,19.92%,5.11亿,18.56%,6.87,11.23亿,15.79亿,17.32%,27.59亿,5.64亿
2023,77.297,4.0009,19.32,3.1409,24.61,-0.38%,4.31亿,-3.54%,6.23,11.89亿,13.15亿,17.52%,24.92亿,5.07亿
2022,87.008,4.017,21.66,3.5212,24.71,7.35%,4.47亿,17.55%,5.70,10.04亿,11.52亿,18.09%,22.89亿,4.77亿
2021,130.544,4.0254,32.43,5.6709,23.02,24.39%,3.80亿,-7.45%,4.97,5.29亿,9.32亿,16.52%,19.99亿,5.58亿
2020,112.745,4.0009,28.18,6.0943,18.5,19.10%,4.11亿,44.38%,4.54,4.86亿,7.72亿,22.21%,18.18亿,3.25亿
2019,,,,,15.54,11.15%,2.85亿,24.66%,2.55,4333.51万,4.42亿,18.32%,9.18亿,2.55亿
2018,,,,,13.98,12.77%,2.28亿,-4.87%,1.90,7297.21万,2.34亿,16.33%,6.82亿,2.02亿
2017,,,,,12.39,14.13%,2.40亿,5.14%,4.15,4079.88万,2.64亿,19.36%,4.15亿,1.81亿
2016,,,,,10.86,False,2.28亿,False,6.52,7064.02万,5.02亿,21.02%,6.52亿,1.32亿
2013,,,,,6.91,4.70%,5613.83万,11.98%,False,6171.54万,1.41亿,8.12%,3.58亿,8180.13万
2012,,,,,6.6,45.09%,5013.11万,-86.55%,False,1.24亿,8995.21万,7.59%,3.14亿,7745.73万
2011,,,,,4.55,37.15%,3.73亿,658.91%,False,3764.77万,6946.35万,15.67%,2.89亿,6138.47万
2010,,,,,3.32,20.46%,4910.82万,36.03%,False,3610.30万,6530.50万,14.80%,2.78亿,4919.85万
