报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,13.871,1.1097,12.5,0.727,4.77,14.69%,1563.20万,43.26%,6.50,1.17亿,2.91亿,3.28%,7.21亿,2.66亿
2025,13.372,1.1097,12.05,0.7323,18.26,12.21%,5401.43万,1569.76%,6.37,9420.35万,2.76亿,2.96%,7.07亿,2.59亿
2024,8.212,1.1097,7.4,0.5047,16.27,43.24%,-367.50万,90.71%,5.88,8491.47万,2.22亿,-0.23%,6.53亿,2.37亿
2023,7.091,1.1097,6.39,0.6242,11.36,12.20%,-3955.58万,-404.12%,5.92,7574.11万,2.26亿,-3.48%,6.57亿,3.16亿
2022,5.904,1.1097,5.32,0.5834,10.12,-28.49%,1300.67万,-80.01%,6.31,2.42亿,2.72亿,1.29%,7.01亿,2.51亿
2021,13.494,1.1097,12.16,0.953,14.16,24.74%,6508.09万,18.11%,6.30,3.41亿,2.72亿,4.60%,6.99亿,2.50亿
2020,,,,,11.35,41.81%,5510.05万,70.82%,5.33,1.94亿,2.12亿,4.85%,3.78亿,2.48亿
2019,,,,,8.0,0.32%,3225.66万,6.11%,4.58,1428.01万,1.61亿,4.03%,3.25亿,1.87亿
2018,,,,,7.98,2.18%,3039.84万,-8.77%,4.14,3097.28万,1.32亿,3.81%,2.94亿,2.00亿
2017,,,,,7.81,33.01%,3331.93万,30.13%,3.73,1.19亿,1.05亿,4.27%,2.65亿,1.64亿
2016,,,,,5.87,25.99%,2560.40万,101.61%,2.81,6169.72万,7834.08万,4.54%,1.71亿,1.41亿
2015,,,,,4.67,0.39%,1269.96万,15.11%,2.38,4497.32万,5568.99万,2.70%,1.46亿,8709.77万
2014,,,,,4.65,22.55%,1103.30万,29.28%,2.17,4328.62万,4556.73万,2.37%,1.34亿,1.12亿
2013,,,,,3.8,16.56%,853.42万,283.50%,2.01,2195.62万,3687.43万,2.25%,1.21亿,1.11亿
2012,,,,,3.26,False,222.53万,False,1.87,2007.25万,2921.57万,0.68%,1.12亿,8381.42万
