报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,42.522,6.903,6.16,10.3209,1.03,23.10%,1220.92万,20.93%,0.54,6921.45万,-5.47亿,12.81%,3.64亿,7796.31万
2025,49.011,6.903,7.1,12.9659,3.78,31.36%,-7685.17万,43.86%,0.53,8523.36万,-5.59亿,-23.24%,3.50亿,6968.82万
2024,37.759,6.903,5.47,13.1108,2.88,-13.20%,-1.37亿,-1691.44%,0.63,5993.14万,-4.82亿,-50.64%,4.36亿,7350.32万
2023,39.884,6.9123,5.77,12.0495,3.31,-17.77%,860.13万,-78.78%,0.84,1.26亿,-3.43亿,2.22%,5.86亿,6706.68万
2022,34.907,6.9123,5.05,8.6618,4.03,-28.80%,4053.27万,-45.99%,0.82,1.14亿,-3.52亿,9.47%,5.77亿,6843.29万
2021,45.69,6.9123,6.61,8.0724,5.66,16.47%,7504.06万,104.40%,0.76,1.96亿,-3.92亿,12.62%,5.31亿,7265.32万
2020,52.533,6.9123,7.6,10.8093,4.86,3.89%,3671.17万,106.54%,0.65,1.50亿,-4.68亿,7.34%,4.59亿,5861.31万
2019,34.758,7.108,4.89,7.4269,4.68,-15.77%,-5.61亿,-1067.24%,0.70,3.06亿,-5.13亿,-119.97%,5.08亿,556.56万
2018,35.086,7.2793,4.82,6.3218,5.55,4.70%,5799.40万,133.86%,1.72,3.10亿,5458.16万,10.41%,12.37亿,False
2017,,,6.71,,5.3,17.17%,-1.71亿,-256.00%,2.18,3.41亿,1956.39万,-32.30%,12.45亿,6.50万
2016,,,10.33,,4.53,19.61%,1.10亿,56.97%,3.72,2.38亿,2.21亿,24.31%,14.24亿,False
2015,,,23.94,,3.78,69.79%,6995.09万,376.31%,3.48,1.53亿,1.32亿,19.20%,13.30亿,False
2014,,,4.17,,2.23,22.09%,1468.61万,28.29%,2.24,1.38亿,7981.98万,8.41%,4.24亿,False
2013,,,3.77,,1.83,45.41%,1144.72万,-41.22%,3.26,1.68亿,6654.73万,7.65%,4.07亿,False
2012,,,1.79,,1.26,-2.67%,1947.39万,-44.40%,5.76,2.39亿,6278.97万,16.44%,3.95亿,False
2011,,,,,1.29,24.78%,3502.41万,12.83%,2.71,5907.37万,5527.49万,27.70%,1.37亿,False
2010,,,,,1.03,48.44%,3104.02万,40.04%,2.02,5083.24万,2355.15万,30.48%,1.04亿,False
