报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,212.641,48.0003,4.43,3.1474,16.89,0.55%,2.69亿,10.63%,3.65,31.26亿,50.09亿,16.07%,176.59亿,2.03亿
2025,214.561,48.0002,4.47,2.8517,75.24,5.82%,8.09亿,3.45%,3.57,21.84亿,47.40亿,10.84%,173.03亿,1.89亿
2024,227.52,48.0,4.74,3.1995,71.11,-3.52%,7.82亿,-28.18%,3.56,18.43亿,47.52亿,11.32%,176.28亿,3.20亿
2023,254.4,48.0,5.3,3.507,72.54,-6.74%,10.89亿,-43.00%,3.53,30.37亿,48.79亿,15.09%,170.80亿,5.01亿
2022,219.36,48.0,4.57,2.8199,77.79,7.26%,19.10亿,-8.08%,3.56,28.19亿,51.40亿,24.66%,171.70亿,5.40亿
2021,261.6,48.0,5.45,3.6073,72.52,14.22%,20.78亿,17.13%,3.42,31.65亿,46.11亿,28.62%,165.04亿,5.54亿
2020,199.2,48.0,4.15,3.137,63.5,12.61%,17.74亿,6.66%,3.23,33.11亿,38.13亿,27.98%,155.91亿,5.42亿
2019,207.36,48.0,4.32,3.6772,56.39,9.04%,16.63亿,16.99%,3.16,22.42亿,34.09亿,29.55%,154.30亿,4.81亿
2018,196.32,48.0,4.09,3.7966,51.71,15.38%,14.22亿,-31.12%,2.95,34.03亿,32.36亿,26.91%,141.64亿,4.10亿
2017,,,4.53,,44.82,0.40%,20.64亿,93.23%,2.95,60.49亿,33.77亿,46.24%,143.57亿,2.89亿
2016,,,5.02,,44.54,-0.77%,10.68亿,-31.16%,2.79,54.32亿,28.32亿,24.00%,134.64亿,2.95亿
2015,,,6.06,,44.88,8.50%,15.52亿,7.00%,2.83,55.20亿,31.01亿,34.58%,136.04亿,3.00亿
2014,,,5.67,,41.37,3.43%,14.50亿,-22.76%,2.76,40.97亿,28.98亿,35.03%,132.55亿,2.42亿
2013,,,3.56,,40.0,0.78%,18.77亿,-0.60%,2.71,47.48亿,28.81亿,46.97%,130.38亿,1.32亿
2012,,,3.09,,39.69,5.12%,18.89亿,17.37%,2.58,35.55亿,24.30亿,47.60%,123.98亿,1.22亿
2011,,,3.36,,37.75,15.09%,16.09亿,24.37%,2.41,24.53亿,18.34亿,42.63%,116.42亿,1.08亿
2010,,,4.52,,32.8,19.68%,12.94亿,27.57%,2.29,38.44亿,12.72亿,39.60%,110.18亿,8830.05万
