报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,36.873,1.008,36.58,3.0625,3.01,37.93%,-418.40万,79.00%,8.59,9996.73万,1.46亿,-1.39%,8.66亿,2.27亿
2025,41.842,1.008,41.51,3.6768,11.38,23.28%,-3716.29万,-56.83%,8.63,9583.90万,1.51亿,-3.27%,8.70亿,2.14亿
2024,15.684,1.008,15.56,1.6992,9.23,-9.13%,-2369.70万,-159.00%,9.28,1.45亿,2.20亿,-2.57%,9.35亿,1.58亿
2023,21.309,1.008,21.14,2.0973,10.16,-3.41%,4016.43万,-42.39%,9.86,1.94亿,2.84亿,3.95%,9.94亿,1.45亿
2022,22.992,1.008,22.81,2.1856,10.52,-9.45%,6971.76万,-28.25%,9.81,1.57亿,2.89亿,6.63%,9.89亿,1.61亿
2021,30.653,1.008,30.41,2.6402,11.61,19.89%,9716.93万,4.02%,9.49,2.18亿,2.62亿,8.37%,9.57亿,1.71亿
2020,,,,,9.69,23.29%,9341.15万,47.51%,6.99,8978.76万,2.11亿,9.64%,5.29亿,1.64亿
2019,,,,,7.86,9.42%,6332.60万,47.50%,5.76,1.11亿,1.21亿,8.06%,4.35亿,1.24亿
2018,,,,,7.18,34.72%,4293.19万,129.90%,4.90,4142.53万,6068.38万,5.98%,3.69亿,1.21亿
2017,,,,,5.33,False,1867.43万,False,4.33,1867.11万,1.25亿,3.50%,3.26亿,9212.83万
