报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,52.133,12.3247,4.23,11.4327,1.14,-23.79%,-161.00万,51.39%,0.21,1.23亿,-28.82亿,-1.42%,2.57亿,False
2025,51.517,12.3247,4.18,9.3838,5.49,-27.65%,-3931.59万,37.29%,0.21,1.94亿,-28.81亿,-7.16%,2.58亿,False
2024,41.657,12.3247,3.38,5.4884,7.59,-15.57%,-6269.05万,-1317.68%,0.24,1.25亿,-28.41亿,-8.26%,2.98亿,2120.67万
2023,35.742,12.3247,2.9,3.9802,8.98,-1.90%,514.83万,-76.46%,0.29,8903.69万,-27.79亿,0.59%,3.60亿,5087.87万
2022,38.946,12.3247,3.16,4.3321,8.99,-41.11%,2187.11万,35.89%,0.29,1.88亿,-27.84亿,2.43%,3.55亿,3493.23万
2021,45.848,12.3247,3.72,3.0025,15.27,11.06%,1609.44万,0.37%,0.27,1.63亿,-28.06亿,1.05%,3.33亿,1985.11万
2020,21.075,12.3247,1.71,1.5327,13.75,2.80%,1603.44万,27.27%,0.26,1.55亿,-28.22亿,1.17%,3.17亿,4399.75万
2019,32.167,12.3247,2.61,2.4041,13.38,32.81%,1259.86万,-3.15%,0.24,1.49亿,-28.38亿,0.94%,3.01亿,False
2018,28.963,12.3247,2.35,2.8762,10.07,105.86%,1300.77万,58.99%,0.23,7894.15万,-28.51亿,1.29%,2.88亿,3550.68万
2017,,,3.1,,4.89,-73.85%,818.13万,-99.47%,0.22,5481.87万,-28.64亿,1.67%,2.75亿,8716.89万
2016,,,2.85,,18.71,-32.96%,15.45亿,159.40%,0.08,85.75万,-28.72亿,86.56%,9589.92万,False
2015,,,3.49,,27.91,-57.86%,-26.00亿,-148.16%,-3.03,12.18亿,-44.35亿,-133.02%,-27.25亿,4.01亿
2014,,,2.51,,66.23,-21.84%,-10.48亿,-2817.00%,0.52,20.48亿,-18.35亿,-19.52%,6.03亿,6.60亿
2013,,,1.88,,84.74,-9.87%,3856.55万,103.29%,2.25,19.22亿,-7.99亿,0.01%,17.97亿,12.15亿
2012,,,2.08,,94.02,-18.70%,-11.71亿,-6483.86%,2.19,14.04亿,-8.38亿,-19.42%,18.21亿,11.96亿
2011,,,2.52,,87.81,32.86%,1833.93万,-90.09%,4.14,8.84亿,3.62亿,0.83%,31.94亿,12.79亿
2010,,,4.64,,65.9,50.90%,1.85亿,97.22%,4.24,7.23亿,4.13亿,3.68%,32.01亿,10.69亿
