报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,209.232,7.7666,26.94,3.2409,16.14,24.13%,5.95亿,490.97%,6.27,79.78亿,22.70亿,36.57%,47.53亿,1311.27万
2025,221.193,7.7666,28.48,3.9862,55.49,-3.69%,11.71亿,233.33%,5.51,82.77亿,16.76亿,21.24%,41.67亿,1267.11万
2024,139.283,8.0002,17.41,2.4173,57.62,-2.98%,3.51亿,-23.26%,4.30,62.18亿,8.20亿,6.10%,33.91亿,537.12万
2023,117.523,8.0002,14.69,1.9792,59.38,10.09%,4.58亿,131.85%,4.69,74.13亿,11.89亿,7.70%,37.49亿,568.52万
2022,123.683,8.0002,15.46,2.293,53.94,-18.50%,-14.37亿,-232.74%,4.19,51.77亿,7.31亿,-26.81%,33.50亿,888.01万
2021,212.645,8.0002,26.58,3.2131,66.18,18.98%,10.83亿,16.31%,5.99,65.60亿,21.69亿,16.40%,47.91亿,1163.45万
2020,212.965,8.0002,26.62,3.8289,55.62,13.53%,9.31亿,15.43%,6.43,76.62亿,19.54亿,16.91%,51.89亿,1119.63万
2019,135.763,4.0001,33.94,2.7712,48.99,-13.73%,8.06亿,34.50%,12.39,81.72亿,19.03亿,16.67%,50.18亿,1860.85万
2018,,,,,56.79,103.91%,5.99亿,27.65%,False,26.22亿,11.74亿,10.68%,29.33亿,1684.63万
2017,,,,,27.85,8.80%,4.70亿,40.19%,False,18.83亿,6.34亿,16.67%,23.23亿,1966.87万
2016,,,,,25.6,61.17%,3.35亿,169.01%,5.14,29.30亿,2.17亿,12.75%,18.48亿,1713.38万
2015,,,,,15.88,73.55%,1.25亿,163.43%,4.21,18.55亿,-6005.81万,7.78%,15.15亿,2665.89万
2014,,,,,9.15,48.32%,-1.96亿,-54.88%,-0.21,16.33亿,-6.62亿,-21.52%,-5622.76万,3845.19万
2013,,,,,6.17,False,-1.27亿,False,-0.90,6.37亿,-4.66亿,-20.55%,-2.11亿,4384.77万
