报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,40.746,4.5782,8.9,3.52,5.13%,322.05万,213.32%,0.31,11.5756,1271.4286,28.7097,PS；PE,1.48亿,-6.92亿,1.24%,1.60亿,1.80亿,,,谢晓华
2026-03-31,40.746,4.5782,8.9,3.52,5.13%,322.05万,213.32%,0.31,2.8939,1271.4286,28.7097,PS；PE,1.48亿,-6.92亿,1.24%,1.60亿,1.80亿,,,谢晓华
2025,29.305,4.6222,6.34,14.95,-0.97%,486.29万,101.06%,0.31,1.9602,598.1132,20.4516,PS；PE,2.83亿,-6.95亿,0.52%,1.62亿,1.86亿,,,谢晓华
2024,24.331,4.7061,5.17,15.1,-7.13%,-4.60亿,-504.29%,0.28,1.6113,,18.4643,PS；PE,1.97亿,-18.33亿,-30.33%,1.48亿,2.05亿,,,谢晓华
2023,22.221,3.6912,6.02,16.26,-30.85%,-7609.25万,70.77%,1.2,1.3666,,5.0167,PS；PE,2.04亿,-13.73亿,-4.56%,5.86亿,2.61亿,,,谢晓华
2022,21.328,3.5312,6.04,23.51,-35.77%,-2.60亿,82.92%,0.42,0.9072,,14.381,PS；PE,2.90亿,-12.97亿,-11.06%,1.72亿,3.52亿,,,谢晓华
2021,29.415,3.5312,8.33,36.6,-33.74%,-15.24亿,-819.60%,1.31,0.8037,,6.3588,PS；PE,3.00亿,-10.38亿,-41.63%,4.84亿,4.75亿,0.06,,谢晓华
2020,64.868,3.5312,18.37,55.23,58.19%,2.12亿,42.53%,5.6,1.1745,30.6371,3.2804,PS；PE,3.06亿,5.07亿,4.12%,20.01亿,9.28亿,0.08499999999999999,,谢晓华
2019,30.609,2.0668,14.81,34.91,390.94%,1.49亿,7167.66%,5.1,0.8768,30.8542,2.9039,PS；PE,3.85亿,3.25亿,4.27%,18.08亿,6.17亿,,,谢晓华
2018,16.037,2.08,7.71,7.11,35.21%,204.40万,-86.45%,2.47,2.2556,771.0,3.1215,PS；PE,2.39亿,1.74亿,0.49%,5.21亿,4.64亿,,,谢晓华
2017,,,10.59,5.26,14.60%,1508.69万,-63.94%,2.44,,146.8793,4.3402,PS；PE,7975.73万,1.72亿,2.87%,5.09亿,1.41亿,0.05500000000000001,,谢晓华
2016,,,17.83,4.59,11.42%,4184.37万,16.18%,2.42,,89.3734,7.3678,PS；PE,4061.58万,1.69亿,9.12%,5.08亿,1.01亿,0.1,,谢晓华
2015,,,20.28,4.12,5.19%,3601.54万,-11.05%,5.62,,40.56,3.6085,PS；PE,1.08亿,1.40亿,8.74%,4.73亿,8085.91万,,,谢晓华
2014,,,,3.92,-0.94%,4048.80万,-5.49%,4.17,,,,PS；PE,5905.50万,1.08亿,10.34%,2.59亿,7260.47万,,,谢晓华
2013,,,,3.95,5.00%,4283.81万,1.62%,3.84,,,,PS；PE,5247.99万,9152.00万,10.84%,2.38亿,4808.94万,,,谢晓华
2012,,,,3.76,13.60%,4215.55万,36.75%,3.35,,,,PS；PE,5164.67万,6544.19万,11.20%,2.08亿,4604.12万,,,谢晓华
2011,,,,3.31,False,3082.60万,False,2.91,,,,PS；PE,4079.05万,4256.91万,9.30%,1.81亿,4899.40万,,,谢晓华
