报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,1902.995,6.2615,303.92,29.15,34.13%,9.30亿,197.20%,38.82,65.2828,205.3514,7.829,PE；PB,85.32亿,78.52亿,31.51%,243.36亿,72.59亿,0.35,,上海创业投资有限公司
2026-03-31,1902.995,6.2615,303.92,29.15,34.13%,9.30亿,197.20%,38.82,16.3207,205.3514,7.829,PE；PB,85.32亿,78.52亿,31.51%,243.36亿,72.59亿,0.35,,上海创业投资有限公司
2025,1138.234,6.2236,182.89,123.85,36.62%,21.11亿,30.69%,36.25,9.1904,53.7912,5.0452,PE；PB,87.43亿,69.22亿,16.67%,227.29亿,71.70亿,0.3,,上海创业投资有限公司
2024,784.318,6.1928,126.65,90.65,44.73%,16.16亿,-9.53%,31.71,8.6522,48.5249,3.994,PE；PB,85.96亿,49.99亿,17.81%,197.36亿,70.39亿,0.3,,上海创业投资有限公司
2023,632.324,6.1624,102.61,62.64,32.15%,17.86亿,52.67%,28.79,10.0946,35.5052,3.5641,PE；PB,89.59亿,35.71亿,28.48%,178.23亿,42.60亿,0.2,,上海创业投资有限公司
2022,402.898,6.1624,65.38,47.4,52.50%,11.70亿,15.66%,25.13,8.5,34.4105,2.6017,PE；PB,102.65亿,19.73亿,24.64%,154.83亿,34.02亿,,,上海创业投资有限公司
2021,451.689,5.3486,84.45,31.08,36.72%,10.11亿,105.49%,22.62,14.5331,47.983,3.7334,PE；PB,111.69亿,8.90亿,32.54%,139.40亿,17.62亿,,,上海创业投资有限公司
2020,562.245,5.3486,105.12,22.73,16.76%,4.92亿,161.02%,8.17,24.7358,114.2609,12.8666,PE；PB,26.37亿,-3278.85万,21.66%,43.69亿,10.64亿,,,上海创业投资有限公司
2019,329.688,5.3486,61.64,19.47,18.77%,1.89亿,107.51%,7.01,16.9331,166.5946,8.7932,PE；PB,23.13亿,-4.82亿,9.69%,37.51亿,10.88亿,,,上海创业投资有限公司
2018,,,,16.39,68.66%,9086.92万,203.72%,4.4,,,,PE；PB,6.70亿,-6.54亿,5.54%,21.16亿,12.48亿,,,上海创业投资有限公司
2017,,,,9.72,59.45%,2991.87万,112.53%,0.1,,,,PE；PB,3.33亿,-32.75亿,3.08%,2.66亿,8.94亿,,,上海创业投资有限公司
2016,,,,6.1,False,-2.39亿,False,-0.76,,,,PE；PB,2.04亿,-33.05亿,-39.18%,-8.71亿,3.31亿,,,上海创业投资有限公司
