报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,807.138,13.2753,60.8,28.57,21.34%,3.30亿,296.56%,17.43,28.2512,244.5696,3.4882,PE；PB,98.53亿,72.90亿,10.57%,252.17亿,23.42亿,,,华润集团(微电子)有限公司
2026-03-31,807.138,13.2753,60.8,28.57,21.34%,3.30亿,296.56%,17.43,7.0628,244.5696,3.4882,PE；PB,98.53亿,72.90亿,10.57%,252.17亿,23.42亿,,,华润集团(微电子)有限公司
2025,699.613,13.2352,52.86,110.54,9.24%,6.61亿,-13.37%,17.31,6.329,106.1659,3.0537,PE；PB,96.27亿,69.60亿,5.02%,248.67亿,22.79亿,0.08399999999999999,,华润集团(微电子)有限公司
2024,621.894,13.2009,47.11,101.19,2.20%,7.62亿,-48.46%,16.85,6.1458,81.7173,2.7958,PE；PB,87.13亿,64.11亿,6.54%,242.96亿,20.96亿,0.11180000000000001,,华润集团(微电子)有限公司
2023,587.308,13.2009,44.49,99.01,-1.59%,14.79亿,-43.48%,16.33,5.9318,39.7019,2.7244,PE；PB,117.99亿,57.97亿,14.53%,236.30亿,19.66亿,0.1983,,华润集团(微电子)有限公司
2022,689.351,13.2009,52.22,100.6,8.77%,26.17亿,15.40%,15.14,6.8524,26.3392,3.4491,PE；PB,127.00亿,45.83亿,25.84%,206.96亿,18.76亿,0.1718,,华润集团(微电子)有限公司
2021,776.614,12.1593,63.87,92.49,32.56%,22.68亿,135.34%,13.1,8.3967,36.1993,4.8756,PE；PB,115.47亿,19.66亿,24.41%,175.00亿,15.48亿,0.07372999999999999,,华润集团(微电子)有限公司
2020,723.463,11.7198,61.73,69.77,21.50%,9.64亿,140.46%,8.7,10.3693,73.8221,7.0954,PE；PB,77.67亿,-3.02亿,15.19%,118.01亿,12.69亿,0.033,,华润集团(微电子)有限公司
2019,,,,57.43,-8.42%,4.01亿,-6.68%,6.54,,,,PE；PB,24.38亿,-12.25亿,8.92%,63.91亿,10.55亿,,,华润集团(微电子)有限公司
2018,,,,62.71,6.73%,4.29亿,511.02%,4.72,,,,PE；PB,15.38亿,-30.49亿,8.57%,50.20亿,11.81亿,,,华润集团(微电子)有限公司
2017,,,,58.76,33.63%,7028.29万,123.22%,4.36,,,,PE；PB,12.19亿,-34.79亿,-1.75%,44.71亿,9.00亿,,,华润集团(微电子)有限公司
2016,,,,43.97,False,-3.03亿,False,3.09,,,,PE；PB,4.62亿,-35.49亿,-6.87%,27.31亿,6.81亿,,,华润集团(微电子)有限公司
