报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,649.129,2.171,299.0,6.33,107.46%,5494.04万,6.67%,17.76,102.548,1181.3512,16.8356,PE；PB,28.68亿,2.99亿,8.38%,38.68亿,7.04亿,,,湖南国科控股有限公司
2026-03-31,649.129,2.171,299.0,6.33,107.46%,5494.04万,6.67%,17.76,25.637,1181.3512,16.8356,PE；PB,28.68亿,2.99亿,8.38%,38.68亿,7.04亿,,,湖南国科控股有限公司
2025,233.686,2.1714,107.62,17.91,-9.44%,-2.33亿,-340.12%,17.46,13.0478,,6.1638,PE；PB,24.01亿,2.44亿,-13.49%,38.04亿,7.92亿,0.3,,湖南国科控股有限公司
2024,144.45,2.1725,66.49,19.78,-53.26%,9715.47万,1.13%,18.88,7.3028,148.1506,3.5217,PE；PB,15.56亿,5.55亿,4.86%,41.07亿,10.65亿,0.3,,湖南国科控股有限公司
2023,127.002,2.1732,58.44,42.31,17.38%,9607.19万,-36.74%,18.97,3.0017,132.1574,3.0807,PE；PB,15.11亿,5.43亿,2.02%,41.04亿,10.63亿,0.3,,湖南国科控股有限公司
2022,153.017,1.8212,84.02,36.05,55.26%,1.52亿,-48.18%,18.5,4.2446,101.3755,4.5416,PE；PB,11.89亿,5.26亿,4.24%,39.96亿,23.99亿,0.4,,湖南国科控股有限公司
2021,328.579,1.8032,182.22,23.22,217.66%,2.93亿,313.63%,8.34,14.1507,112.1285,21.8489,PE；PB,3.44亿,4.99亿,12.59%,14.94亿,10.45亿,0.32,,湖南国科控股有限公司
2020,77.216,1.7999,42.9,7.31,34.64%,7085.56万,4.00%,6.97,10.5631,109.1603,6.1549,PE；PB,5.23亿,2.91亿,9.54%,12.33亿,2.27亿,0.1,,湖南国科控股有限公司
2019,44.436,1.1176,39.76,5.43,35.68%,6812.78万,21.29%,6.35,8.1834,104.7694,6.2614,PE；PB,4.79亿,2.38亿,12.42%,11.19亿,1.73亿,0.0989631,,湖南国科控股有限公司
2018,24.855,1.1176,22.24,4.0,-2.83%,5617.10万,6.70%,9.18,6.2138,70.536,2.4227,PE；PB,4.26亿,1.84亿,11.21%,10.06亿,1.15亿,0.15,,湖南国科控股有限公司
2017,,,39.61,4.12,-15.80%,5264.48万,3.01%,8.66,,72.0182,4.5739,PE；PB,5.28亿,1.48亿,11.14%,9.60亿,9890.44万,,,湖南国科控股有限公司
2016,,,,4.89,33.22%,5110.89万,23.15%,8.49,,,,PE；PB,3.14亿,1.02亿,10.13%,7.10亿,1.42亿,,,湖南国科控股有限公司
2015,,,,3.67,103.00%,4150.10万,4.15%,7.75,,,,PE；PB,8749.91万,5606.14万,10.14%,6.50亿,8844.29万,,,湖南国科控股有限公司
2014,,,,1.81,112.94%,3984.92万,308.99%,5.35,,,,PE；PB,8569.58万,8198.01万,19.02%,1.62亿,1177.30万,,,湖南国科控股有限公司
2013,,,,0.849227,False,974.32万,False,3.8,,,,PE；PB,6468.05万,4515.92万,7.14%,1.18亿,302.00万,,,湖南国科控股有限公司
