报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,298.227,0.8986,331.88,2.05,21.15%,-1320.26万,58.68%,24.89,145.4766,,13.3339,PE；PB,6.57亿,-9556.57万,-6.43%,22.36亿,3.01亿,0.0,,刘兴胜
2026-03-31,298.227,0.8986,331.88,2.05,21.15%,-1320.26万,58.68%,24.89,36.3691,,13.3339,PE；PB,6.57亿,-9556.57万,-6.43%,22.36亿,3.01亿,0.0,,刘兴胜
2025,109.245,0.9036,120.9,8.8,41.93%,-3840.96万,78.04%,24.71,12.4142,,4.8928,PE；PB,7.66亿,-8236.31万,-4.36%,22.21亿,2.88亿,,,刘兴胜
2024,39.749,0.9036,43.99,6.2,10.49%,-1.75亿,-293.17%,23.37,6.4111,,1.8823,PE；PB,8.74亿,-4395.35万,-28.21%,21.12亿,3.21亿,0.31,,刘兴胜
2023,70.484,0.8996,78.35,5.61,1.69%,9054.61万,-28.76%,26.69,12.564,77.5743,2.9356,PE；PB,16.03亿,1.58亿,16.14%,24.11亿,2.05亿,0.42861000000000005,,刘兴胜
2022,57.484,0.8996,63.9,5.52,15.98%,1.27亿,87.56%,27.3,10.4138,45.3191,2.3407,PE；PB,17.07亿,1.13亿,22.89%,24.56亿,2.43亿,,,刘兴胜
2021,134.895,0.8996,149.95,4.76,32.21%,6776.16万,94.33%,25.78,28.3393,149.95,5.8165,PE；PB,18.08亿,-811.81万,13.64%,23.26亿,1.58亿,,,刘兴胜
2020,,,,3.6,7.43%,3487.00万,143.35%,9.27,,,,PE；PB,2.12亿,-7587.96万,9.33%,6.35亿,1.41亿,,,刘兴胜
2019,,,,3.35,-5.59%,-8043.05万,-530.89%,6.94,,,,PE；PB,6988.00万,-1.11亿,-24.01%,4.26亿,1.30亿,,,刘兴胜
2018,,,,3.55,34.61%,1866.61万,297.59%,8.32,,,,PE；PB,1.02亿,-2626.27万,5.26%,5.11亿,1.50亿,,,刘兴胜
2017,,,,2.64,100.46%,-944.70万,-149.70%,7.96,,,,PE；PB,2912.38万,-4482.81万,-3.58%,4.89亿,1.09亿,,,刘兴胜
2016,,,,1.31,2.87%,1900.86万,-14.04%,5.7,,,,PE；PB,3656.49万,4899.81万,14.46%,2.28亿,1.03亿,,,刘兴胜
2015,,,,1.28,1.48%,2211.29万,146.81%,5.34,,,,PE；PB,3154.48万,3289.87万,23.69%,2.09亿,7074.64万,,,刘兴胜
2014,,,,1.26,33.83%,895.96万,-37.70%,5.17,,,,PE；PB,1129.11万,1604.35万,4.84%,1.83亿,6410.25万,,,刘兴胜
2013,,,,0.941166,False,1438.17万,False,4.45,,,,PE；PB,1826.99万,1229.57万,15.28%,1.51亿,6086.51万,,,刘兴胜
