报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,315.216,7.3221,43.05,0.985425,-62.68%,-4909.90万,-1958.32%,9.05,319.8782,,4.7569,PE；PB,19.80亿,16.55亿,-62.94%,68.98亿,3.07亿,0.37,40%: 最新年度营业收入下滑；最新年度净利润同比下降,杨云春
2026-03-31,315.216,7.3221,43.05,0.985425,-62.68%,-4909.90万,-1958.32%,9.05,79.9696,,4.7569,PE；PB,19.80亿,16.55亿,-62.94%,68.98亿,3.07亿,0.37,,杨云春
2025,406.45,7.3221,55.51,8.24,-31.59%,14.73亿,966.77%,9.2,49.3265,27.5854,6.0337,PE；PB,22.44亿,17.04亿,168.48%,70.21亿,2.90亿,,,杨云春
2024,124.988,7.335,17.04,12.05,-7.31%,-1.70亿,-264.07%,6.72,10.3724,,2.5357,PE；PB,6.16亿,2.54亿,-21.19%,53.89亿,4.64亿,0.034999999999999996,,杨云春
2023,174.523,7.3329,23.8,13.0,65.39%,1.04亿,241.24%,7.04,13.4248,168.0791,3.3807,PE；PB,9.48亿,4.50亿,5.54%,56.29亿,4.81亿,,,杨云春
2022,106.796,7.2998,14.63,7.86,-15.37%,-7336.11万,-135.66%,6.79,13.5873,,2.1546,PE；PB,15.22亿,3.46亿,-18.99%,55.04亿,2.61亿,0.034999999999999996,,杨云春
2021,154.987,6.3912,24.25,9.29,21.38%,2.06亿,2.30%,6.96,16.6832,78.2258,3.4842,PE；PB,28.35亿,4.49亿,20.09%,56.82亿,1.40亿,0.034999999999999996,,杨云春
2020,150.718,6.419,23.48,7.65,6.55%,2.01亿,74.20%,4.82,19.7017,75.7419,4.8714,PE；PB,9.65亿,6.37亿,24.50%,35.80亿,2.35亿,0.03,,杨云春
2019,68.541,2.8276,24.24,7.18,0.77%,1.15亿,29.77%,4.38,9.5461,134.6667,5.5342,PE；PB,7.05亿,4.59亿,14.67%,33.63亿,2.43亿,0.1,,杨云春
2018,21.47,1.8784,11.43,7.12,18.65%,8895.48万,83.66%,5.32,3.0154,35.7299,2.1485,PE；PB,5.33亿,3.79亿,13.21%,18.89亿,1.78亿,0.05,,杨云春
2017,,,15.5,6.01,78.21%,4843.44万,-17.99%,7.45,,91.1765,2.0805,PE；PB,11.17亿,3.03亿,9.68%,17.47亿,1.19亿,0.05,,杨云春
2016,,,17.49,3.37,97.08%,5905.92万,23.99%,7.34,,51.4412,2.3828,PE；PB,2.17亿,2.64亿,19.82%,14.09亿,9876.12万,0.12,,杨云春
2015,,,17.7,1.71,0.93%,4763.04万,-11.70%,6.88,,55.3125,2.5727,PE；PB,2.17亿,2.21亿,28.88%,5.84亿,5596.05万,,,杨云春
2014,,,,1.69,1.33%,5394.33万,-3.15%,4.19,,,,PE；PB,5713.90万,1.75亿,32.39%,2.69亿,5501.55万,,,杨云春
2013,,,,1.67,28.13%,5569.69万,12.16%,3.43,,,,PE；PB,2728.08万,1.35亿,33.13%,2.19亿,4112.80万,,,杨云春
2012,,,,1.3,15.19%,4965.76万,6.79%,2.54,,,,PE；PB,2893.90万,7948.39万,37.98%,1.64亿,4238.11万,,,杨云春
2011,,,,1.13,False,4650.00万,False,1.76,,,,PE；PB,3436.06万,3008.71万,40.94%,1.12亿,2817.65万,,,杨云春
