报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,61.241,6.307,9.71,3.06,-16.00%,2456.16万,-9.74%,3.17,20.0134,248.9744,3.0631,PS；PE,8.52亿,1.27亿,8.37%,20.33亿,2.58亿,0.08,40%: 最新年度营业收入下滑；最新年度净利润同比下降,谷保华
2026-03-31,61.241,6.307,9.71,3.06,-16.00%,2456.16万,-9.74%,3.17,5.0033,248.9744,3.0631,PS；PE,8.52亿,1.27亿,8.37%,20.33亿,2.58亿,0.08,,谷保华
2025,56.07,6.3071,8.89,13.95,8.31%,1.20亿,25.24%,3.11,4.0194,46.7895,2.8585,PS；PE,7.91亿,1.02亿,8.82%,19.91亿,2.56亿,,,谷保华
2024,40.409,6.2168,6.5,12.88,18.91%,9573.53万,10.36%,2.89,3.1373,43.3333,2.2491,PS；PE,6.98亿,-6392.11万,7.73%,18.96亿,2.32亿,,,谷保华
2023,43.344,5.6437,7.68,10.83,4.11%,8674.58万,17.30%,2.71,4.0022,51.2,2.8339,PS；PE,7.77亿,-1.60亿,7.78%,17.78亿,2.40亿,,,谷保华
2022,35.612,5.6437,6.31,10.4,4.04%,7395.27万,45.42%,2.17,3.4242,48.5385,2.9078,PS；PE,4.35亿,-2.46亿,7.86%,12.86亿,2.53亿,,,谷保华
2021,52.938,5.6437,9.38,10.0,18.06%,5085.52万,542.99%,2.04,5.2938,104.1065,4.598,PS；PE,3.52亿,-3.20亿,5.03%,11.99亿,2.07亿,,,谷保华
2020,25.284,5.6437,4.48,8.47,3.04%,790.92万,105.17%,1.96,2.9851,320.0,2.2857,PS；PE,2.42亿,-3.71亿,1.14%,11.44亿,2.07亿,,,谷保华
2019,19.697,5.6437,3.49,8.22,-7.15%,-1.53亿,-1704.07%,1.94,2.3962,,1.799,PS；PE,2.58亿,-3.79亿,-19.74%,11.34亿,2.31亿,,,谷保华
2018,18.398,5.6437,3.26,8.85,8.85%,953.01万,-32.13%,2.21,2.0789,192.8994,1.4751,PS；PE,2.83亿,-2.26亿,1.18%,12.82亿,2.44亿,,,谷保华
2017,,,5.34,8.13,37.74%,1404.14万,106.69%,2.19,,214.4578,2.4384,PS；PE,3.85亿,-2.36亿,1.78%,12.71亿,2.42亿,,,谷保华
2016,,,8.03,5.91,-1.51%,-2.10亿,-1597.99%,2.16,,,3.7176,PS；PE,5.74亿,-2.50亿,-36.97%,12.51亿,1.73亿,,,谷保华
2015,,,5.69,6.0,-10.84%,1400.81万,116.79%,2.54,,284.5,2.2402,PS；PE,7.48亿,-3998.02万,1.55%,14.71亿,2.80亿,,,谷保华
2014,,,6.32,6.72,3.81%,-8344.61万,-755.91%,2.51,,,2.5179,PS；PE,3.64亿,-5398.83万,-12.76%,14.92亿,2.39亿,0.01,,谷保华
2013,,,5.15,6.48,-0.61%,1272.23万,-48.72%,2.67,,257.5,1.9288,PS；PE,4.93亿,3510.14万,2.30%,15.55亿,2.25亿,0.02,,谷保华
2012,,,6.49,6.52,-21.76%,2480.90万,-47.43%,1.97,,108.1667,3.2944,PS；PE,2.26亿,3473.79万,4.31%,8.34亿,1.89亿,,,谷保华
2011,,,5.1,8.33,9.73%,4719.02万,53.94%,1.91,,42.5,2.6702,PS；PE,2.37亿,1115.17万,6.23%,8.08亿,1.27亿,,,谷保华
2010,,,8.34,7.59,42.75%,3065.57万,130.65%,1.79,,104.25,4.6592,PS；PE,1.89亿,-3537.75万,3.85%,7.59亿,1.76亿,,,谷保华
