报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,197.755,8.8759,22.28,8.64,10.71%,4714.66万,-24.38%,5.55,22.8883,419.5857,4.0144,PS；PE,8.03亿,11.36亿,5.51%,49.81亿,6.06亿,0.10700000000000001,20%: 最新年度净利润同比下降,深圳远致富海电子信息投资企业(有限合伙)
2026-03-31,197.755,8.8759,22.28,8.64,10.71%,4714.66万,-24.38%,5.55,5.7221,419.5857,4.0144,PS；PE,8.03亿,11.36亿,5.51%,49.81亿,6.06亿,0.10700000000000001,,深圳远致富海电子信息投资企业(有限合伙)
2025,101.607,8.6918,11.69,37.94,20.44%,3.16亿,-5.12%,5.5,2.6781,32.4993,2.1255,PS；PE,10.10亿,10.88亿,8.36%,49.35亿,6.14亿,0.11469149999999999,,深圳远致富海电子信息投资企业(有限合伙)
2024,106.964,8.6681,12.34,31.5,4.42%,3.33亿,23.49%,5.16,3.3957,32.1605,2.3915,PS；PE,7.59亿,9.08亿,10.82%,46.01亿,4.73亿,0.0937485,,深圳远致富海电子信息投资企业(有限合伙)
2023,81.125,8.6029,9.43,30.17,-4.28%,2.70亿,35.07%,4.82,2.6889,29.9175,1.9564,PS；PE,6.86亿,6.82亿,9.31%,43.00亿,4.09亿,0.1269388,,深圳远致富海电子信息投资企业(有限合伙)
2022,64.588,8.6117,7.5,31.52,-5.02%,2.00亿,-34.24%,4.62,2.0491,31.9557,1.6234,PS；PE,10.42亿,5.40亿,6.94%,40.79亿,4.66亿,0.06006160000000001,,深圳远致富海电子信息投资企业(有限合伙)
2021,102.108,6.9698,14.65,33.18,42.47%,3.04亿,752.03%,4.35,3.0774,37.2489,3.3678,PS；PE,13.50亿,4.00亿,9.52%,38.31亿,5.84亿,,,深圳远致富海电子信息投资企业(有限合伙)
2020,59.162,6.952,8.51,23.29,28.14%,3567.61万,-20.88%,3.0,2.5402,166.2109,2.8367,PS；PE,5.43亿,1.15亿,1.99%,21.66亿,5.27亿,,,深圳远致富海电子信息投资企业(有限合伙)
2019,84.189,6.952,12.11,18.18,8.74%,4509.10万,-65.76%,2.95,4.6309,186.5948,4.1051,PS；PE,2.89亿,7902.73万,3.26%,21.37亿,6.08亿,,,深圳远致富海电子信息投资企业(有限合伙)
2018,38.949,7.0432,5.53,16.72,15.98%,1.32亿,137.50%,2.9,2.3295,29.1513,1.9069,PS；PE,3.92亿,3808.95万,8.51%,20.78亿,6.69亿,,,深圳远致富海电子信息投资企业(有限合伙)
2017,,,6.32,14.41,-17.29%,-3.51亿,-309.38%,2.71,,,2.3321,PS；PE,7.11亿,-8487.52万,-24.33%,19.37亿,6.39亿,0.13803870000000001,,深圳远致富海电子信息投资企业(有限合伙)
2016,,,12.6,17.43,149.55%,1.68亿,118.01%,9.47,,46.6667,1.3305,PS；PE,9.89亿,2.99亿,9.02%,22.53亿,5.52亿,0.08132589999999999,,深圳远致富海电子信息投资企业(有限合伙)
2015,,,11.52,6.79,207.89%,7693.63万,160.95%,5.59,,24.5106,2.0608,PS；PE,2.03亿,1.50亿,11.32%,12.29亿,5.56亿,0.05,,深圳远致富海电子信息投资企业(有限合伙)
2014,,,3.4,2.2,39.37%,2948.28万,18.18%,2.42,,15.4545,1.405,PS；PE,7118.26万,8299.90万,13.14%,3.40亿,5840.69万,0.1,,深圳远致富海电子信息投资企业(有限合伙)
2013,,,3.4,1.58,24.84%,2494.64万,-5.24%,5.68,,17.8947,0.5986,PS；PE,8133.84万,6180.64万,15.74%,3.04亿,5612.24万,0.2,,深圳远致富海电子信息投资企业(有限合伙)
2012,,,2.23,1.27,-3.06%,2632.59万,-16.21%,5.42,,4.0545,0.4114,PS；PE,1.75亿,5003.25万,20.77%,2.89亿,4043.04万,0.5,,深圳远致富海电子信息投资企业(有限合伙)
2011,,,,1.31,22.34%,3142.05万,22.52%,2.83,,,,PS；PE,4553.61万,5302.60万,24.04%,1.13亿,3017.77万,,,深圳远致富海电子信息投资企业(有限合伙)
2010,,,,1.07,36.25%,2564.49万,61.06%,2.04,,,,PS；PE,2679.33万,2475.90万,24.00%,8163.12万,3101.33万,,,深圳远致富海电子信息投资企业(有限合伙)
