报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,29.777,2.0564,14.48,0.309121,24.11%,-1393.20万,-105.02%,4.0,96.328,,3.62,PS；PE,2.04亿,2.60亿,-45.51%,8.26亿,1.83亿,0.2,20%: 最新年度净利润同比下降,郑乐观
2026-03-31,29.777,2.0564,14.48,0.309121,24.11%,-1393.20万,-105.02%,4.0,24.082,,3.62,PS；PE,2.04亿,2.60亿,-45.51%,8.26亿,1.83亿,0.2,,郑乐观
2025,16.238,1.4589,11.13,3.59,-6.41%,4026.71万,-26.70%,4.06,4.5231,55.65,2.7414,PS；PE,2.77亿,2.74亿,11.54%,8.39亿,1.72亿,0.35,,郑乐观
2024,9.89,1.1175,8.85,3.84,7.84%,5493.25万,9.12%,5.73,2.5755,23.2895,1.5445,PS；PE,2.82亿,2.84亿,14.56%,8.39亿,1.39亿,0.25,,郑乐观
2023,10.507,1.1083,9.48,3.56,18.16%,5033.95万,12.44%,7.32,2.9514,21.0667,1.2951,PS；PE,3.07亿,2.59亿,14.24%,8.20亿,1.49亿,0.2,,郑乐观
2022,8.774,0.9236,9.5,3.01,12.35%,4476.90万,25.53%,6.97,2.915,23.75,1.363,PS；PE,3.86亿,2.32亿,14.92%,7.75亿,1.31亿,0.3,,郑乐观
2021,9.809,0.9236,10.62,2.68,-6.23%,3566.52万,-47.32%,8.12,3.6601,33.1875,1.3079,PS；PE,4.09亿,2.16亿,13.24%,7.51亿,9613.22万,0.6,,郑乐观
2020,12.108,0.9236,13.11,2.86,-9.25%,6770.28万,-15.81%,8.33,4.2336,15.6071,1.5738,PS；PE,5.09亿,2.37亿,23.64%,7.71亿,7260.67万,,,郑乐观
2019,,,,3.15,16.99%,8042.00万,10.38%,5.22,,,,PS；PE,2.12亿,1.73亿,25.63%,3.63亿,4235.33万,,,郑乐观
2018,,,,2.69,24.03%,7285.80万,45.99%,4.36,,,,PS；PE,1.77亿,1.19亿,27.12%,3.03亿,4434.86万,,,郑乐观
2017,,,,2.17,36.00%,4990.55万,71.84%,3.14,,,,PS；PE,1.22亿,7135.22万,23.21%,2.07亿,3551.79万,,,郑乐观
2016,,,,1.6,82.54%,2904.26万,51.26%,2.53,,,,PS；PE,1.22亿,3677.46万,18.18%,1.67亿,3675.38万,,,郑乐观
2015,,,,0.874782,60.71%,1920.00万,39.63%,2.31,,,,PS；PE,5454.16万,1646.90万,21.93%,9623.54万,3118.02万,,,郑乐观
2014,,,,0.544311,44.65%,1375.05万,126.32%,3.16,,,,PS；PE,724.44万,2297.54万,25.26%,3787.34万,2708.71万,,,郑乐观
2013,,,,0.376301,54.31%,607.57万,37.48%,2.07,,,,PS；PE,2131.23万,1141.56万,15.91%,2492.69万,1061.28万,,,郑乐观
2012,,,,0.243857,21.60%,441.93万,74.21%,1.57,,,,PS；PE,370.59万,593.85万,18.12%,1885.12万,907.10万,,,郑乐观
2011,,,,0.200534,False,253.68万,False,1.2,,,,PS；PE,258.18万,196.11万,12.65%,1443.19万,570.99万,,,郑乐观
