报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,139.238,2.4824,56.09,0.294223,-35.56%,-3139.62万,-58.25%,0.94,473.2397,,59.6702,PS；PE,1.56亿,-7.54亿,-146.55%,3.55亿,8115.61万,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,上海中信电子发展有限公司
2026-03-31,139.238,2.4824,56.09,0.294223,-35.56%,-3139.62万,-58.25%,0.94,118.3099,,59.6702,PS；PE,1.56亿,-7.54亿,-146.55%,3.55亿,8115.61万,,,上海中信电子发展有限公司
2025,153.412,2.4824,61.8,2.57,-4.40%,-1.60亿,-35.82%,1.03,59.6934,,60.0,PS；PE,2.37亿,-7.22亿,-86.24%,3.78亿,6744.79万,,,上海中信电子发展有限公司
2024,58.336,2.4824,23.5,2.69,9.02%,-1.18亿,36.35%,1.85,21.6862,,12.7027,PS；PE,3.30亿,-5.62亿,-59.23%,5.58亿,8531.40万,,,上海中信电子发展有限公司
2023,30.197,2.0514,14.72,2.46,-6.47%,-1.85亿,-15.97%,2.33,12.2752,,6.3176,PS；PE,5.77亿,-4.45亿,-93.21%,7.15亿,1.08亿,,,上海中信电子发展有限公司
2022,25.068,2.0514,12.22,2.64,-37.54%,-1.59亿,-97.99%,0.43,9.4955,,28.4186,PS；PE,1.46亿,-2.60亿,-68.93%,2.68亿,4722.62万,,,上海中信电子发展有限公司
2021,30.463,2.0514,14.85,4.22,-26.24%,-8051.98万,-26.09%,0.75,7.2187,,19.8,PS；PE,1.03亿,-1.00亿,-17.71%,2.18亿,6888.47万,,,上海中信电子发展有限公司
2020,22.853,2.0514,11.14,5.72,-10.65%,-6385.87万,57.59%,1.15,3.9953,,9.687,PS；PE,1.09亿,-1980.58万,-10.83%,2.94亿,9081.99万,,,上海中信电子发展有限公司
2019,19.592,1.2199,16.06,6.4,-9.44%,-1.51亿,-436.10%,1.49,3.0612,,10.7785,PS；PE,2.14亿,5267.22万,-23.32%,3.63亿,1.75亿,0.03,,上海中信电子发展有限公司
2018,7.691,0.683,11.26,7.07,25.28%,4480.32万,34.92%,3.71,1.0878,51.1818,3.035,PS；PE,2.14亿,2.07亿,7.26%,4.82亿,3.49亿,0.1,,上海中信电子发展有限公司
2017,,,13.06,5.64,8.29%,3320.79万,10.66%,6.18,,47.4909,2.1133,PS；PE,2.24亿,1.69亿,5.81%,4.35亿,2.91亿,0.11000000000000001,,上海中信电子发展有限公司
2016,,,26.04,5.21,19.00%,3000.88万,-21.53%,6.61,,58.5169,3.9395,PS；PE,1.88亿,1.46亿,5.95%,4.60亿,1.65亿,0.2,,上海中信电子发展有限公司
2015,,,39.85,4.38,18.89%,3824.24万,8.21%,5.11,,60.9327,7.7984,PS；PE,2.40亿,1.32亿,8.92%,3.48亿,1.40亿,,,上海中信电子发展有限公司
2014,,,,3.68,19.55%,3533.93万,6.78%,3.18,,,,PS；PE,1.22亿,9689.35万,10.20%,1.67亿,8796.96万,,,上海中信电子发展有限公司
2013,,,,3.08,20.07%,3309.51万,34.52%,2.48,,,,PS；PE,1.24亿,6445.21万,11.32%,1.29亿,5981.71万,,,上海中信电子发展有限公司
2012,,,,2.57,31.11%,2460.25万,14.45%,1.82,,,,PS；PE,1.09亿,5174.49万,10.11%,9403.62万,4942.93万,,,上海中信电子发展有限公司
2011,,,,1.96,False,2149.64万,False,1.33,,,,PS；PE,7788.56万,2918.46万,10.98%,6639.62万,3797.69万,,,上海中信电子发展有限公司
