报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,66.835,6.3774,10.48,23.54,8.52%,1550.34万,17.34%,5.18,2.8392,431.2757,2.0232,PS；PE,9.19亿,11.32亿,0.86%,33.77亿,17.61亿,,,陈友
2026-03-31,66.835,6.3774,10.48,23.54,8.52%,1550.34万,17.34%,5.18,0.7098,431.2757,2.0232,PS；PE,9.19亿,11.32亿,0.86%,33.77亿,17.61亿,,,陈友
2025,80.036,6.3774,12.55,93.81,15.00%,3070.21万,32.32%,5.16,0.8532,260.9148,2.4322,PS；PE,8.31亿,11.17亿,0.47%,33.56亿,21.27亿,0.015,,陈友
2024,74.871,6.3774,11.74,81.57,23.84%,2320.30万,-18.10%,5.12,0.9179,322.5275,2.293,PS；PE,6.99亿,10.96亿,0.81%,33.28亿,23.59亿,0.015,,陈友
2023,55.611,6.3774,8.72,65.87,15.71%,2833.22万,-13.06%,5.19,0.8443,196.3964,1.6802,PS；PE,2.98亿,10.84亿,1.23%,35.93亿,24.00亿,0.015,,陈友
2022,38.073,6.3774,5.97,56.92,1.39%,3258.76万,-18.73%,5.16,0.6689,119.4,1.157,PS；PE,1.85亿,10.70亿,1.31%,35.45亿,18.75亿,0.015,,陈友
2021,49.744,6.3774,7.8,56.14,6.85%,4009.60万,-69.65%,5.18,0.8861,130.0,1.5058,PS；PE,3.69亿,10.48亿,1.46%,35.28亿,16.55亿,0.025,,陈友
2020,47.83,6.3774,7.5,52.54,17.52%,1.32亿,13.18%,5.13,0.9104,35.7143,1.462,PS；PE,3.70亿,10.35亿,3.33%,34.55亿,17.42亿,0.02,,陈友
2019,31.328,3.9908,7.85,44.71,18.69%,1.17亿,-45.85%,4.94,0.7007,43.6111,1.5891,PS；PE,4.79亿,9.19亿,3.42%,32.96亿,12.14亿,0.060118899999999996,,陈友
2018,27.222,3.9974,6.81,37.67,27.13%,2.16亿,38.23%,7.58,0.7226,20.0294,0.8984,PS；PE,3.05亿,8.28亿,6.49%,31.35亿,8.63亿,0.0400654,,陈友
2017,,,6.76,29.63,21.03%,1.56亿,35.71%,7.08,,16.0952,0.9548,PS；PE,3.49亿,6.38亿,6.05%,29.13亿,5.36亿,0.0350217,,陈友
2016,,,12.13,24.48,46.02%,1.15亿,82.24%,5.52,,35.6765,2.1975,PS；PE,1.85亿,5.02亿,5.50%,20.37亿,5.92亿,0.0199966,,陈友
2015,,,17.72,16.77,41.29%,6305.01万,3.02%,4.05,,88.6,4.3753,PS；PE,4.10亿,3.98亿,4.48%,13.56亿,4.19亿,0.0197811,,陈友
2014,,,7.25,11.87,15.99%,6120.25万,-49.91%,3.84,,38.1579,1.888,PS；PE,2.59亿,3.46亿,5.79%,12.60亿,2.77亿,0.0349794,,陈友
2013,,,6.13,10.23,53.82%,1.22亿,22.51%,3.64,,15.7179,1.6841,PS；PE,2.37亿,3.00亿,12.41%,11.79亿,1.96亿,0.2,,陈友
2012,,,3.49,6.65,59.32%,9973.04万,22.74%,6.64,,10.9062,0.5256,PS；PE,2.44亿,2.22亿,15.29%,10.62亿,1.03亿,0.3,,陈友
2011,,,3.5,4.17,68.83%,8125.21万,30.66%,6.64,,6.7308,0.5271,PS；PE,4.52亿,1.78亿,21.29%,10.59亿,212.70万,0.3,,陈友
2010,,,5.6,2.47,0.38%,6218.74万,8.54%,9.64,,13.6585,0.5809,PS；PE,6.80亿,1.35亿,26.05%,10.18亿,206.71万,0.3,,陈友
