报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,60.206,0.9136,65.9,2.32,14.92%,1126.65万,293.15%,28.77,25.9509,532.7405,2.2906,PS；PE,21.13亿,5857.18万,1.28%,28.48亿,2.13亿,0.3,,熊雨前
2026-03-31,60.206,0.9136,65.9,2.32,14.92%,1126.65万,293.15%,28.77,6.4877,532.7405,2.2906,PS；PE,21.13亿,5857.18万,1.28%,28.48亿,2.13亿,0.3,,熊雨前
2025,81.272,0.9144,88.88,10.67,49.99%,3023.64万,12.16%,28.75,7.6169,264.6814,3.0915,PS；PE,21.12亿,4730.53万,4.32%,28.55亿,1.92亿,0.3,,熊雨前
2024,60.896,0.9149,66.56,7.11,16.44%,2695.83万,129.64%,27.92,8.5648,219.8151,2.384,PS；PE,21.02亿,4397.73万,3.29%,25.43亿,90.48万,0.4,,熊雨前
2023,45.466,0.662,68.68,6.11,5.33%,-9094.10万,-5114.76%,28.01,7.4412,,2.452,PS；PE,21.05亿,6569.47万,-14.93%,25.66亿,12.50万,0.5,,熊雨前
2022,21.254,0.4814,44.15,5.8,7.16%,-174.39万,-103.77%,40.15,3.6645,,1.0996,PS；PE,21.53亿,1.92亿,-0.37%,26.62亿,18.53万,0.8,,熊雨前
2021,34.049,0.4814,70.73,5.41,15.48%,4623.54万,-59.90%,59.06,6.2937,101.014,1.1976,PS；PE,22.83亿,2.31亿,8.49%,28.47亿,False,0.8,,熊雨前
2020,59.506,0.4814,123.61,4.69,27.01%,1.15亿,55.51%,62.33,12.6878,41.933,1.9832,PS；PE,27.12亿,2.27亿,24.75%,30.04亿,False,,,熊雨前
2019,,,,3.69,31.35%,7413.57万,92.62%,9.08,,,,PS；PE,1.57亿,1.22亿,20.41%,3.33亿,False,,,熊雨前
2018,,,,2.81,27.30%,3848.78万,49.89%,7.47,,,,PS；PE,8823.71万,7065.92万,13.97%,2.72亿,2.50万,,,熊雨前
2017,,,,2.21,24.92%,2567.65万,140.37%,7.38,,,,PS；PE,7170.05万,7083.22万,11.80%,2.69亿,2.50万,,,熊雨前
2016,,,,1.77,25.34%,1068.20万,-72.39%,6.68,,,,PS；PE,1.16亿,4681.25万,6.33%,2.42亿,2.50万,,,熊雨前
2015,,,,1.41,15.58%,3868.65万,69.48%,3.98,,,,PS；PE,4662.21万,4249.73万,27.40%,1.26亿,25.08万,,,熊雨前
2014,,,,1.22,25.34%,2282.69万,119.35%,3.01,,,,PS；PE,2463.52万,2293.49万,18.71%,9101.68万,40.09万,,,熊雨前
2013,,,,0.972776,25.30%,1040.65万,16.29%,2.63,,,,PS；PE,5469.49万,561.52万,10.89%,7177.14万,28.05万,,,熊雨前
2012,,,,0.776389,False,894.89万,False,7.58,,,,PS；PE,4679.32万,1284.80万,11.72%,6124.41万,67.01万,,,熊雨前
