报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,80.827,8.1315,9.94,3.46,16.19%,-3838.57万,-1383.00%,2.61,23.3604,,3.8084,PS；PE,4.06亿,2.97亿,-11.11%,21.19亿,8.95亿,0.007000000000000001,20%: 最新年度净利润同比下降,王长春
2026-03-31,80.827,8.1315,9.94,3.46,16.19%,-3838.57万,-1383.00%,2.61,5.8401,,3.8084,PS；PE,4.06亿,2.97亿,-11.11%,21.19亿,8.95亿,0.007000000000000001,,王长春
2025,125.66,8.1228,15.47,19.58,12.76%,2059.67万,10.82%,2.64,6.4178,609.0551,5.8598,PS；PE,7.36亿,3.36亿,1.05%,21.48亿,7.58亿,0.007000000000000001,,王长春
2024,104.55,7.3214,14.28,17.36,-9.46%,1858.60万,-42.18%,2.61,6.0225,587.6543,5.4713,PS；PE,7.11亿,3.27亿,1.07%,21.17亿,6.96亿,0.01,,王长春
2023,75.195,7.3147,10.28,19.18,1.62%,3214.63万,42.98%,2.16,3.9205,230.4933,4.7593,PS；PE,5.37亿,3.16亿,1.68%,15.82亿,4.04亿,0.006,,王长春
2022,73.182,7.21,10.15,18.87,20.05%,2248.25万,-82.18%,2.05,3.8782,325.3205,4.9512,PS；PE,5.71亿,2.97亿,1.28%,14.96亿,4.15亿,0.034999999999999996,,王长春
2021,112.262,7.2148,15.56,15.72,1.37%,1.26亿,-46.73%,2.06,7.1413,88.4091,7.5534,PS；PE,5.76亿,3.05亿,8.11%,14.98亿,5.11亿,0.06999999999999999,,王长春
2020,90.58,4.8181,18.8,15.51,18.28%,2.37亿,71.71%,1.9,5.8401,55.7864,9.8947,PS；PE,4.87亿,2.50亿,15.34%,13.83亿,3.43亿,0.012,,王长春
2019,44.338,3.2152,13.79,13.11,20.56%,1.38亿,144.32%,3.09,3.382,45.5416,4.4628,PS；PE,6.29亿,4.37亿,10.64%,14.98亿,203.90万,0.15,,王长春
2018,21.46,2.993,7.17,10.87,23.63%,5645.41万,-35.62%,3.83,1.9742,58.5784,1.8721,PS；PE,5.50亿,3.30亿,5.35%,12.40亿,19.09万,0.0558539,,王长春
2017,,,6.56,8.8,35.16%,8768.65万,-13.40%,3.61,,21.5789,1.8172,PS；PE,3.85亿,2.92亿,9.96%,10.87亿,81.23万,0.08,,王长春
2016,,,10.78,6.51,49.18%,1.01亿,173.99%,2.78,,29.5504,3.8777,PS；PE,2.93亿,2.28亿,15.91%,8.22亿,218.06万,0.08,,王长春
2015,,,16.42,4.36,75.04%,3695.52万,-1.45%,4.81,,118.7274,3.4137,PS；PE,2.93亿,1.46亿,8.42%,7.03亿,148.59万,0.15,,王长春
2014,,,8.4,2.49,40.28%,3749.77万,72.43%,8.58,,11.7994,0.979,PS；PE,3.45亿,1.23亿,15.05%,4.83亿,102.22万,0.1,,王长春
2013,,,3.18,1.78,7.50%,2174.72万,-49.31%,8.14,,7.5606,0.3907,PS；PE,3.38亿,9462.72万,12.24%,4.21亿,160.34万,0.3,,王长春
2012,,,2.66,1.65,15.79%,4290.32万,16.84%,8.02,,2.668,0.3317,PS；PE,3.63亿,9056.47万,25.96%,4.15亿,315.69万,,,王长春
2011,,,,1.43,26.03%,3672.02万,18.28%,3.79,,,,PS；PE,1.31亿,5195.18万,25.73%,1.47亿,340.05万,,,王长春
2010,,,,1.13,28.16%,3104.48万,59.91%,2.84,,,,PS；PE,9604.93万,1890.36万,27.41%,1.10亿,277.43万,,,王长春
