报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,97.432,2.7155,35.88,4.36,3.02%,-803.51万,3.58%,8.55,22.3468,,4.1965,PS；PE,14.38亿,11.07亿,-2.39%,25.01亿,1.02亿,0.125,,富士康工业互联网股份有限公司
2026-03-31,97.432,2.7155,35.88,4.36,3.02%,-803.51万,3.58%,8.55,5.5867,,4.1965,PS；PE,14.38亿,11.07亿,-2.39%,25.01亿,1.02亿,0.125,,富士康工业互联网股份有限公司
2025,122.424,2.7139,45.11,24.33,4.39%,1.63亿,5.04%,8.67,5.0318,73.9508,5.203,PS；PE,17.03亿,11.15亿,7.16%,25.36亿,1.15亿,0.03,,富士康工业互联网股份有限公司
2024,69.374,2.6931,25.76,23.31,4.62%,1.56亿,3.59%,8.09,2.9761,44.4138,3.1842,PS；PE,7.60亿,9.76亿,6.80%,23.31亿,8544.14万,0.11491499999999999,,富士康工业互联网股份有限公司
2023,56.29,2.6703,21.08,22.28,11.65%,1.50亿,12.27%,7.68,2.5265,37.6429,2.7448,PS；PE,8.93亿,8.55亿,6.96%,21.98亿,6562.01万,0.0991629,,富士康工业互联网股份有限公司
2022,40.286,2.6644,15.12,19.95,11.58%,1.34亿,19.29%,6.9,2.0193,29.6471,2.1913,PS；PE,12.16亿,7.45亿,6.93%,19.31亿,4839.59万,0.1,,富士康工业互联网股份有限公司
2021,62.569,2.6625,23.5,17.88,19.52%,1.12亿,-7.58%,6.26,3.4994,55.9524,3.754,PS；PE,10.80亿,6.41亿,6.28%,16.77亿,4473.52万,0.0999971,,富士康工业互联网股份有限公司
2020,70.628,2.6602,26.55,14.96,2.00%,1.21亿,17.44%,5.71,4.7211,57.7174,4.6497,PS；PE,8.74亿,5.64亿,8.06%,15.32亿,2659.34万,0.0999734,,富士康工业互联网股份有限公司
2019,38.19,2.6466,14.43,14.67,9.33%,1.03亿,30.45%,5.27,2.6033,37.0,2.7381,PS；PE,8.91亿,4.64亿,7.08%,14.11亿,1077.46万,0.10039769999999999,,富士康工业互联网股份有限公司
2018,24.883,2.6471,9.4,13.42,10.32%,7923.67万,29.68%,4.99,1.8542,31.3333,1.8838,PS；PE,8.13亿,3.91亿,6.00%,13.35亿,1300.70万,0.1,,富士康工业互联网股份有限公司
2017,,,14.1,12.16,6.66%,6110.01万,48.73%,4.62,,61.3043,3.0519,PS；PE,3.74亿,3.42亿,5.32%,12.37亿,1036.85万,0.1,,富士康工业互联网股份有限公司
2016,,,22.49,11.4,11.75%,4108.22万,252.23%,4.43,,140.5625,5.0767,PS；PE,3.69亿,3.11亿,3.73%,11.77亿,783.33万,0.1,,富士康工业互联网股份有限公司
2015,,,42.37,10.2,-3.14%,1166.35万,-81.56%,5.62,,1059.25,7.5391,PS；PE,5.45亿,2.97亿,1.19%,11.33亿,798.84万,0.2,,富士康工业互联网股份有限公司
2014,,,19.95,10.53,-0.57%,6324.51万,-34.07%,7.43,,62.3438,2.6851,PS；PE,8.17亿,3.21亿,5.98%,11.47亿,848.27万,0.3,,富士康工业互联网股份有限公司
2013,,,,10.59,6.46%,9592.23万,-1.69%,7.04,,,,PS；PE,3.51亿,2.99亿,9.12%,6.30亿,694.84万,,,富士康工业互联网股份有限公司
2012,,,,9.95,3.78%,9756.65万,3.27%,6.15,,,,PS；PE,3.31亿,2.14亿,9.59%,5.49亿,747.24万,,,富士康工业互联网股份有限公司
2011,,,,9.59,33.33%,9447.74万,87.56%,4.91,,,,PS；PE,3.03亿,1.26亿,9.64%,4.42亿,1314.71万,,,富士康工业互联网股份有限公司
2010,,,,7.19,26.94%,5037.25万,32.76%,4.05,,,,PS；PE,2.85亿,4114.17万,7.23%,3.60亿,1449.26万,,,富士康工业互联网股份有限公司
