报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-11,1363.129,312.6443,4.36,1028.24,-0.51%,21.37亿,-17.99%,5.46,1.3257,64.1176,0.7985,PS；PE,408.81亿,584.17亿,4.72%,3812.83亿,35.40亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,中国联合网络通信集团有限公司
2026-03-31,1363.129,312.6443,4.36,1028.24,-0.51%,21.37亿,-17.99%,5.46,0.3314,64.1176,0.7985,PS；PE,408.81亿,584.17亿,4.72%,3812.83亿,35.40亿,,,中国联合网络通信集团有限公司
2025,1625.01,318.0058,5.11,3922.23,0.68%,91.27亿,1.07%,5.39,0.4143,17.5,0.9481,PS；PE,496.62亿,562.80亿,5.30%,3765.01亿,24.31亿,0.1733,,中国联合网络通信集团有限公司
2024,1634.725,318.0399,5.14,3895.89,4.56%,90.30亿,10.49%,5.18,0.4196,17.6027,0.9923,PS；PE,572.39亿,531.70亿,5.29%,3687.88亿,24.63亿,0.1483,,中国联合网络通信集团有限公司
2023,1310.343,318.0444,4.12,3725.97,4.97%,81.73亿,11.96%,5.01,0.3517,15.7854,0.8224,PS；PE,614.23亿,492.99亿,5.02%,3579.35亿,22.17亿,0.1223,,中国联合网络通信集团有限公司
2022,1270.647,309.9139,4.1,3549.44,8.26%,72.99亿,15.76%,4.85,0.358,17.5214,0.8454,PS；PE,729.90亿,453.79亿,4.69%,3472.74亿,18.82亿,0.1054,,中国联合网络通信集团有限公司
2021,1082.444,310.156,3.49,3278.54,7.90%,63.05亿,14.20%,4.81,0.3302,16.9417,0.7256,PS；PE,495.60亿,416.45亿,4.40%,3362.10亿,18.46亿,0.1157,,中国联合网络通信集团有限公司
2020,1197.585,310.2551,3.86,3038.38,4.59%,55.21亿,10.82%,4.76,0.3942,21.6854,0.8109,PS；PE,367.75亿,393.92亿,4.12%,3314.74亿,19.51亿,0.060399999999999995,,中国联合网络通信集团有限公司
2019,1560.699,310.2781,5.03,2905.15,-0.12%,49.82亿,22.09%,4.62,0.5372,31.2422,1.0887,PS；PE,388.67亿,360.23亿,3.88%,3234.96亿,23.59亿,0.0533,,中国联合网络通信集团有限公司
2018,1324.247,302.3395,4.38,2908.77,5.84%,40.81亿,858.28%,4.52,0.4553,33.1818,0.969,PS；PE,345.53亿,334.52亿,3.20%,3169.40亿,23.88亿,0.0198,,中国联合网络通信集团有限公司
2017,,,5.34,2748.29,0.23%,4.26亿,176.39%,5.96,,284.0426,0.896,PS；PE,385.62亿,297.73亿,0.61%,3070.18亿,22.39亿,,,中国联合网络通信集团有限公司
2016,,,6.17,2741.97,-1.03%,1.54亿,-95.56%,3.66,,845.2055,1.6858,PS；PE,255.18亿,294.33亿,0.18%,2305.07亿,24.31亿,0.057199999999999994,,中国联合网络通信集团有限公司
2015,,,5.14,2770.49,-3.99%,34.72亿,-12.81%,3.71,,31.3797,1.3854,PS；PE,221.13亿,306.37亿,3.77%,2340.46亿,39.46亿,0.0673,,中国联合网络通信集团有限公司
2014,,,4.07,2885.71,-4.99%,39.82亿,15.65%,3.65,,21.672,1.1151,PS；PE,254.13亿,287.52亿,4.15%,2303.28亿,43.78亿,0.0534,,中国联合网络通信集团有限公司
2013,,,2.6,3037.27,18.52%,34.43亿,45.38%,3.53,,16.0099,0.7365,PS；PE,215.89亿,260.27亿,3.39%,2216.26亿,55.36亿,0.039900000000000005,,中国联合网络通信集团有限公司
2012,,,2.8,2562.65,18.91%,23.68亿,67.68%,3.41,,25.0671,0.8211,PS；PE,183.20亿,235.25亿,2.74%,2122.34亿,58.03亿,0.0335,,中国联合网络通信集团有限公司
2011,,,4.15,2155.19,22.28%,14.12亿,14.40%,3.35,,62.3123,1.2388,PS；PE,154.39亿,219.45亿,1.94%,2086.11亿,46.51亿,0.026000000000000002,,中国联合网络通信集团有限公司
2010,,,4.22,1762.43,11.24%,12.35亿,-60.65%,3.34,,72.5086,1.2635,PS；PE,227.91亿,211.53亿,2.08%,2081.80亿,37.28亿,0.0536,,中国联合网络通信集团有限公司
