报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,39.0,0.9949,39.2,0.465264,-19.26%,-910.79万,-143.10%,4.36,83.8234,,8.9908,PE；PB,1.32亿,-1296.02万,-21.66%,4.57亿,3690.34万,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,付小铜
2026-03-31,39.0,0.9949,39.2,0.465264,-19.26%,-910.79万,-143.10%,4.36,20.9558,,8.9908,PE；PB,1.32亿,-1296.02万,-21.66%,4.57亿,3690.34万,,,付小铜
2025,30.991,0.9949,31.15,2.7,-21.95%,-2929.03万,85.31%,4.45,11.4781,,7.0,PE；PB,1.20亿,-385.23万,-9.79%,4.68亿,4134.52万,,,付小铜
2024,17.769,0.9949,17.86,3.46,-3.29%,-1.99亿,-1907.71%,4.75,5.1355,,3.76,PE；PB,9952.09万,1122.28万,-56.81%,4.95亿,3969.83万,,,付小铜
2023,24.196,0.9949,24.32,3.58,-32.49%,-993.02万,53.83%,6.62,6.7587,,3.6737,PE；PB,1.15亿,2.10亿,-2.16%,6.83亿,5825.09万,,,付小铜
2022,16.727,0.6861,24.38,5.31,-27.18%,-2150.70万,-168.53%,6.53,3.1501,,3.7335,PE；PB,1.18亿,2.20亿,-2.93%,6.71亿,9014.37万,0.0,,付小铜
2021,28.864,0.6861,42.07,7.29,42.02%,3138.23万,-48.05%,9.78,3.9594,133.3862,4.3016,PE；PB,2.07亿,2.41亿,4.19%,6.94亿,1.26亿,0.05,,付小铜
2020,13.331,0.6861,19.43,5.13,37.97%,6040.98万,393.73%,9.38,2.5986,22.0695,2.0714,PE；PB,2.05亿,2.16亿,10.46%,6.81亿,1.44亿,0.04,,付小铜
2019,13.736,0.6861,20.02,3.72,8.24%,1223.55万,-15.28%,8.54,3.6925,112.2827,2.3443,PE；PB,2.23亿,1.65亿,5.37%,6.77亿,9053.18万,0.04,,付小铜
2018,10.861,0.6861,15.83,3.44,-17.90%,1444.30万,-69.13%,8.41,3.1573,75.2019,1.8823,PE；PB,7841.70万,1.55亿,4.76%,5.92亿,1.00亿,0.2,,付小铜
2017,,,29.67,4.18,6.78%,4678.14万,3.95%,8.4,,34.2689,3.5321,PE；PB,8591.77万,1.56亿,11.18%,5.76亿,1.19亿,,,付小铜
2016,,,,3.92,27.82%,4500.31万,15.33%,5.77,,,,PE；PB,2952.12万,1.14亿,11.49%,2.95亿,1.09亿,,,付小铜
2015,,,,3.07,9.42%,3902.21万,20.21%,4.89,,,,PE；PB,3320.94万,7321.32万,12.73%,2.50亿,1.08亿,,,付小铜
2014,,,,2.8,15.49%,3246.04万,114.34%,4.74,,,,PE；PB,1824.65万,7309.33万,11.58%,2.31亿,9396.23万,,,付小铜
2013,,,,2.43,False,1514.44万,False,4.07,,,,PE；PB,6020.60万,4372.54万,6.23%,1.98亿,7802.88万,,,付小铜
