报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,209.096,3.4278,61.0,5.08,13.47%,4854.88万,48.96%,7.73,41.1606,430.791,7.8913,PE；PB,14.42亿,7.71亿,9.55%,26.49亿,3.97亿,,,浙江兆龙控股有限公司
2026-03-31,209.096,3.4278,61.0,5.08,13.47%,4854.88万,48.96%,7.73,10.2902,430.791,7.8913,PE；PB,14.42亿,7.71亿,9.55%,26.49亿,3.97亿,,,浙江兆龙控股有限公司
2025,136.606,2.5956,52.63,21.24,15.97%,2.31亿,51.20%,7.62,6.4315,71.1216,6.9068,PE；PB,14.67亿,7.22亿,10.89%,26.12亿,3.07亿,0.12,,浙江兆龙控股有限公司
2024,123.457,2.5817,47.82,18.31,17.74%,1.53亿,55.90%,4.69,6.7426,97.5918,10.1962,PE；PB,2.54亿,5.47亿,8.35%,12.16亿,2.89亿,0.12,,浙江兆龙控股有限公司
2023,45.735,1.8375,24.89,15.56,-3.45%,9815.36万,-24.76%,4.15,2.9393,65.5,5.9976,PE；PB,2.59亿,4.41亿,6.31%,10.72亿,2.01亿,0.11000000000000001,,浙江兆龙控股有限公司
2022,11.76,1.225,9.6,16.11,9.99%,1.30亿,47.79%,5.3,0.73,18.8235,1.8113,PE；PB,2.58亿,3.73亿,8.10%,9.74亿,2.14亿,0.13,,浙江兆龙控股有限公司
2021,13.132,1.225,10.72,14.65,26.16%,8826.71万,20.93%,6.98,0.8964,22.3147,1.5358,PE；PB,2.03亿,2.71亿,6.03%,8.54亿,2.38亿,0.12,,浙江兆龙控股有限公司
2020,14.982,1.225,12.23,11.61,5.88%,7299.03万,-3.02%,6.37,1.2904,15.481,1.9199,PE；PB,3.24亿,2.06亿,6.29%,7.81亿,1.59亿,,,浙江兆龙控股有限公司
2019,,,,10.97,-4.60%,7526.02万,3.90%,3.83,,,,PE；PB,3798.60万,1.40亿,6.86%,3.52亿,1.00亿,,,浙江兆龙控股有限公司
2018,,,,11.5,21.72%,7243.24万,113.80%,3.01,,,,PE；PB,4182.39万,7187.04万,6.30%,2.77亿,1.02亿,,,浙江兆龙控股有限公司
2017,,,,9.44,32.92%,3387.82万,-36.33%,2.09,,,,PE；PB,3377.15万,684.54万,3.59%,1.88亿,9610.39万,,,浙江兆龙控股有限公司
2016,,,,7.11,False,5321.31万,False,8.41,,,,PE；PB,1548.34万,2.02亿,7.49%,2.52亿,6266.70万,,,浙江兆龙控股有限公司
