报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,1835.842,8.0668,227.58,27.73,24.79%,2.40亿,59.76%,12.82,66.2042,758.6,17.752,PE；PB,41.86亿,46.48亿,8.38%,103.87亿,74.78亿,,,烽火科技集团有限公司
2026-03-31,1835.842,8.0668,227.58,27.73,24.79%,2.40亿,59.76%,12.82,16.551,758.6,17.752,PE；PB,41.86亿,46.48亿,8.38%,103.87亿,74.78亿,,,烽火科技集团有限公司
2025,555.116,7.9359,69.95,119.29,44.20%,9.46亿,43.10%,12.5,4.6535,57.8099,5.596,PE；PB,44.42亿,44.08亿,7.81%,101.45亿,57.46亿,0.26,,烽火科技集团有限公司
2024,411.952,7.942,51.87,82.72,36.49%,6.61亿,6.82%,11.48,4.9801,61.0235,4.5183,PE；PB,31.85亿,36.71亿,7.93%,91.57亿,39.55亿,0.24,,烽火科技集团有限公司
2023,196.535,6.9817,28.15,60.61,-12.31%,6.19亿,1.75%,10.63,3.2426,33.9157,2.6482,PE；PB,37.36亿,32.56亿,10.22%,84.29亿,18.86亿,0.16999999999999998,,烽火科技集团有限公司
2022,108.129,6.9941,15.46,69.12,6.56%,6.08亿,7.25%,8.76,1.5644,17.1778,1.7648,PE；PB,21.68亿,28.42亿,8.88%,61.11亿,23.30亿,0.16999999999999998,,烽火科技集团有限公司
2021,158.272,6.9785,22.68,64.86,7.28%,5.67亿,16.39%,7.92,2.4402,26.6824,2.8636,PE；PB,28.53亿,24.04亿,8.72%,55.29亿,22.01亿,0.16999999999999998,,烽火科技集团有限公司
2020,190.042,6.7703,28.07,60.46,13.27%,4.87亿,36.25%,7.2,3.1433,38.4521,3.8986,PE；PB,24.88亿,20.04亿,7.48%,50.11亿,19.59亿,0.16999999999999998,,烽火科技集团有限公司
2019,185.228,6.4652,28.65,53.38,8.30%,3.58亿,7.51%,6.67,3.47,52.0909,4.2954,PE；PB,15.92亿,16.66亿,6.14%,45.33亿,15.63亿,0.16999999999999998,,烽火科技集团有限公司
2018,161.376,6.289,25.66,49.29,8.26%,3.33亿,-0.47%,5.25,3.274,48.4151,4.8876,PE；PB,9.16亿,14.48亿,6.28%,34.47亿,14.19亿,0.16999999999999998,,烽火科技集团有限公司
2017,,,27.9,45.53,12.17%,3.34亿,17.29%,4.92,,52.6415,5.6707,PE；PB,8.71亿,12.48亿,7.19%,31.70亿,12.28亿,0.5,,烽火科技集团有限公司
2016,,,24.66,40.59,29.79%,2.85亿,17.15%,13.52,,54.8,1.824,PE；PB,9.61亿,10.43亿,6.75%,29.14亿,13.27亿,0.5003838,,烽火科技集团有限公司
2015,,,20.2,31.28,29.06%,2.43亿,68.80%,12.64,,17.4138,1.5981,PE；PB,5.73亿,8.83亿,7.75%,26.59亿,11.39亿,0.5,,烽火科技集团有限公司
2014,,,11.49,24.33,14.08%,1.44亿,-11.86%,11.68,,15.1184,0.9837,PE；PB,10.59亿,7.48亿,5.92%,23.77亿,7.73亿,0.25,,烽火科技集团有限公司
2013,,,11.41,21.33,1.38%,1.64亿,2.05%,8.98,,12.8202,1.2706,PE；PB,5.19亿,6.51亿,7.67%,16.72亿,6.09亿,0.25,,烽火科技集团有限公司
2012,,,5.89,21.04,1.51%,1.60亿,-1.56%,8.09,,6.7701,0.7281,PE；PB,4.70亿,5.39亿,7.62%,14.84亿,5.69亿,0.25,,烽火科技集团有限公司
2011,,,9.72,20.72,21.10%,1.63亿,28.35%,6.97,,10.9213,1.3945,PE；PB,4.48亿,4.28亿,10.09%,13.78亿,5.88亿,0.25,,烽火科技集团有限公司
2010,,,13.7,9.14,25.17%,1.27亿,21.72%,6.51,,17.3418,2.1045,PE；PB,5.06亿,2.61亿,13.87%,10.42亿,3.94亿,0.25,,烽火科技集团有限公司
