报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,53.012,2.7102,19.56,3.6,8.72%,2288.91万,198.36%,7.73,14.7256,244.5,2.5304,PE；PB,5.64亿,8.59亿,6.36%,20.96亿,7.67亿,,,四川天邑集团有限公司
2026-03-31,53.012,2.7102,19.56,3.6,8.72%,2288.91万,198.36%,7.73,3.6814,244.5,2.5304,PE；PB,5.64亿,8.59亿,6.36%,20.96亿,7.67亿,,,四川天邑集团有限公司
2025,40.355,2.7102,14.89,12.26,-30.62%,-1.04亿,-292.51%,7.65,3.2916,,1.9464,PE；PB,7.06亿,8.36亿,-8.46%,20.73亿,6.44亿,,,四川天邑集团有限公司
2024,49.132,2.725,18.03,17.67,-30.81%,-2642.54万,-126.24%,8.02,2.7805,,2.2481,PE；PB,5.70亿,9.33亿,-1.50%,21.74亿,6.84亿,0.2,,四川天邑集团有限公司
2023,49.14,2.7285,18.01,25.54,-14.64%,1.01亿,-47.95%,8.37,1.924,48.6757,2.1517,PE；PB,6.48亿,10.14亿,3.94%,22.80亿,10.72亿,0.2,,四川天邑集团有限公司
2022,42.684,2.7309,15.63,29.92,24.78%,1.93亿,7.06%,8.11,1.4266,21.7083,1.9273,PE；PB,7.15亿,9.69亿,6.46%,22.09亿,12.12亿,0.2,,四川天邑集团有限公司
2021,49.738,2.6741,18.6,23.98,25.80%,1.81亿,64.00%,7.42,2.0741,27.3529,2.5067,PE；PB,8.99亿,8.51亿,7.54%,20.25亿,11.33亿,0.2,,四川天邑集团有限公司
2020,46.797,2.6741,17.5,19.06,-10.83%,1.10亿,2.32%,6.99,2.4552,42.6829,2.5036,PE；PB,11.19亿,7.41亿,5.78%,18.68亿,6.43亿,0.2,,四川天邑集团有限公司
2019,56.798,2.6741,21.24,21.38,-22.96%,1.08亿,-29.24%,6.77,2.6566,53.1,3.1374,PE；PB,10.07亿,6.96亿,5.04%,18.11亿,6.69亿,0.2,,四川天邑集团有限公司
2018,64.366,2.6741,24.07,27.75,17.84%,1.52亿,-33.82%,6.57,2.3195,39.459,3.6636,PE；PB,6.95亿,6.51亿,5.48%,17.56亿,8.99亿,0.15,,四川天邑集团有限公司
2017,,,,23.55,31.67%,2.30亿,51.32%,4.23,,,,PE；PB,3.03亿,5.54亿,9.76%,8.48亿,10.60亿,,,四川天邑集团有限公司
2016,,,,17.88,64.54%,1.52亿,26.21%,8.32,,,,PE；PB,3.17亿,3.46亿,8.50%,6.18亿,7.45亿,,,四川天邑集团有限公司
2015,,,,10.87,95.35%,1.20亿,203.80%,0.0,,,,PE；PB,1.49亿,2.09亿,11.08%,4.24亿,4.28亿,,,四川天邑集团有限公司
2014,,,,5.56,49.73%,3963.36万,20.84%,0.0,,,,PE；PB,9977.66万,1.01亿,7.12%,3.03亿,3.04亿,,,四川天邑集团有限公司
2013,,,,3.72,4.16%,3279.96万,-16.35%,3.65,,,,PE；PB,3253.72万,6490.24万,8.83%,2.62亿,2.20亿,,,四川天邑集团有限公司
2012,,,,3.57,33.71%,3920.94万,41.79%,3.12,,,,PE；PB,4266.03万,3503.13万,10.99%,1.87亿,1.72亿,,,四川天邑集团有限公司
2011,,,,2.67,False,2765.30万,False,8.55,,,,PE；PB,3590.22万,2270.17万,10.36%,1.27亿,1.38亿,,,四川天邑集团有限公司
