报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,99.475,1.1177,89.0,3.95,26.98%,7256.39万,31.68%,11.98,25.1835,136.9231,7.429,PE；PB,1.22亿,5.54亿,18.20%,13.39亿,4.97亿,,,优利德集团有限公司
2026-03-31,99.475,1.1177,89.0,3.95,26.98%,7256.39万,31.68%,11.98,6.2959,136.9231,7.429,PE；PB,1.22亿,5.54亿,18.20%,13.39亿,4.97亿,,,优利德集团有限公司
2025,35.432,1.1128,31.84,12.21,7.99%,1.51亿,-17.54%,11.32,2.9019,23.4118,2.8127,PE；PB,8408.51万,4.81亿,11.66%,12.65亿,4.80亿,1.3,,优利德集团有限公司
2024,39.293,1.1084,35.45,11.3,10.81%,1.83亿,13.64%,11.1,3.4773,21.3554,3.1937,PE；PB,3.23亿,4.74亿,15.85%,12.33亿,3.70亿,1.2,,优利德集团有限公司
2023,40.436,1.1042,36.62,10.2,14.44%,1.61亿,37.46%,10.74,3.9643,25.0822,3.4097,PE；PB,3.56亿,4.24亿,15.52%,11.89亿,2.91亿,0.38,,优利德集团有限公司
2022,29.15,1.1,26.5,8.91,5.85%,1.17亿,7.99%,9.59,3.2716,25.0,2.7633,PE；PB,4.18亿,3.22亿,12.90%,10.59亿,2.39亿,0.3,,优利德集团有限公司
2021,29.37,1.1,26.7,8.42,-4.90%,1.09亿,-26.04%,8.63,3.4881,26.4356,3.0939,PE；PB,3.74亿,2.51亿,12.83%,9.49亿,3.12亿,0.45,,优利德集团有限公司
2020,,,,8.86,63.98%,1.47亿,175.95%,5.01,,,,PE；PB,1.86亿,2.02亿,16.60%,4.13亿,1.68亿,,,优利德集团有限公司
2019,,,,5.4,16.33%,5326.84万,66.00%,3.24,,,,PE；PB,6878.28万,6967.83万,9.86%,2.67亿,1.13亿,,,优利德集团有限公司
2018,,,,4.64,15.83%,3208.97万,16.89%,2.24,,,,PE；PB,2131.14万,4092.69万,6.91%,1.67亿,1.03亿,,,优利德集团有限公司
2017,,,,4.01,False,2745.32万,False,1.55,,,,PE；PB,2588.76万,3285.79万,6.85%,1.10亿,7733.70万,,,优利德集团有限公司
