报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,39.392,3.0944,12.73,4.51,-10.09%,4234.68万,-13.42%,8.72,8.7344,90.9286,1.4599,PE；PB,12.32亿,18.51亿,9.39%,26.99亿,9.33亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,黄杰
2026-03-31,39.392,3.0944,12.73,4.51,-10.09%,4234.68万,-13.42%,8.72,2.1836,90.9286,1.4599,PE；PB,12.32亿,18.51亿,9.39%,26.99亿,9.33亿,,,黄杰
2025,39.701,3.0944,12.83,16.91,-9.24%,1.54亿,-34.89%,8.58,2.3478,25.66,1.4953,PE；PB,12.90亿,18.08亿,9.13%,26.56亿,9.75亿,0.236,,黄杰
2024,38.371,3.0944,12.4,18.63,-16.41%,2.37亿,-28.91%,8.3,2.0596,16.1039,1.494,PE；PB,9.46亿,17.37亿,12.73%,25.68亿,10.38亿,0.26,,黄杰
2023,35.09,3.0944,11.34,22.29,10.09%,3.34亿,9.14%,8.0,1.5742,10.5,1.4175,PE；PB,14.46亿,16.08亿,14.97%,24.76亿,9.02亿,0.22000000000000003,,黄杰
2022,35.493,3.0944,11.47,20.24,22.70%,3.06亿,81.11%,7.13,1.7536,11.5859,1.6087,PE；PB,11.49亿,13.55亿,15.10%,22.05亿,9.75亿,0.136,,黄杰
2021,39.485,3.0944,12.76,16.5,49.56%,1.69亿,58.55%,6.3,2.393,23.2,2.0254,PE；PB,7.92亿,11.02亿,10.23%,19.48亿,9.25亿,0.10500000000000001,,黄杰
2020,21.488,2.1067,10.2,11.03,-6.13%,1.06亿,-17.78%,5.85,1.9481,30.0,1.7436,PE；PB,8.36亿,9.86亿,9.65%,18.10亿,5.51亿,0.188,,黄杰
2019,17.47,2.1074,8.29,11.75,-4.49%,1.29亿,-28.95%,8.28,1.4868,19.7381,1.0012,PE；PB,9.05亿,9.27亿,11.02%,17.45亿,6.38亿,0.2,,黄杰
2018,18.986,2.1025,9.03,12.31,21.99%,1.82亿,5.83%,7.81,1.5423,10.2614,1.1562,PE；PB,6.27亿,8.45亿,14.81%,16.45亿,6.02亿,0.18,,黄杰
2017,,,14.19,10.09,49.26%,1.72亿,38.36%,6.98,,17.0964,2.033,PE；PB,8.79亿,7.12亿,17.07%,14.68亿,3.84亿,0.18,,黄杰
2016,,,22.15,6.76,-8.35%,1.24亿,-1.01%,6.34,,33.0597,3.4937,PE；PB,8.70亿,5.85亿,18.41%,13.10亿,3.64亿,,,黄杰
2015,,,,7.37,-10.73%,1.26亿,-8.95%,4.62,,,,PE；PB,2.77亿,4.66亿,17.05%,7.16亿,2.70亿,,,黄杰
2014,,,,8.26,2.74%,1.38亿,38.54%,4.01,,,,PE；PB,2.10亿,3.81亿,16.71%,6.22亿,3.02亿,,,黄杰
2013,,,,8.04,26.84%,9965.35万,15.29%,3.17,,,,PE；PB,1.33亿,2.55亿,12.55%,4.92亿,2.97亿,,,黄杰
2012,,,,6.34,-3.40%,8643.77万,10.86%,2.55,,,,PE；PB,5459.70万,1.64亿,13.95%,4.35亿,3.70亿,,,黄杰
2011,,,,6.56,False,7797.14万,False,12.83,,,,PE；PB,9460.98万,2.51亿,12.53%,3.35亿,4.07亿,,,黄杰
