报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,43.913,5.3553,8.2,1.01,15.16%,520.05万,146.93%,1.29,43.4782,845.3608,6.3566,PE；PB,1.47亿,-3.51亿,4.31%,6.88亿,1.32亿,,,洛阳国宏投资控股集团有限公司
2026-03-31,43.913,5.3553,8.2,1.01,15.16%,520.05万,146.93%,1.29,10.8696,845.3608,6.3566,PE；PB,1.47亿,-3.51亿,4.31%,6.88亿,1.32亿,,,洛阳国宏投资控股集团有限公司
2025,53.821,5.3553,10.05,4.72,-14.31%,-4297.34万,50.39%,1.28,11.4028,,7.8516,PE；PB,1.32亿,-3.56亿,-9.13%,6.83亿,1.27亿,,,洛阳国宏投资控股集团有限公司
2024,39.897,5.3553,7.45,5.51,-33.99%,-8661.74万,-90.33%,1.36,7.2408,,5.4779,PE；PB,1.25亿,-3.13亿,-19.46%,6.89亿,2.17亿,,,洛阳国宏投资控股集团有限公司
2023,38.451,5.3553,7.18,8.35,4.09%,-4550.94万,-314.46%,1.52,4.6049,,4.7237,PE；PB,1.03亿,-2.26亿,-5.05%,7.96亿,1.91亿,,,洛阳国宏投资控股集团有限公司
2022,24.26,5.3553,4.53,8.03,36.62%,2122.01万,322.79%,1.62,3.0212,114.3939,2.7963,PE；PB,1.03亿,-1.80亿,2.66%,8.45亿,1.64亿,,,洛阳国宏投资控股集团有限公司
2021,38.237,5.3553,7.14,5.87,7.77%,-952.48万,-150.29%,1.58,6.514,,4.519,PE；PB,1.05亿,-2.01亿,-2.97%,8.22亿,2.44亿,,,洛阳国宏投资控股集团有限公司
2020,32.224,5.3887,5.98,5.45,8.91%,1894.00万,109.31%,1.59,5.9127,169.8864,3.761,PE；PB,7752.58万,-1.92亿,1.91%,8.39亿,1.40亿,,,洛阳国宏投资控股集团有限公司
2019,32.391,5.5275,5.86,5.0,16.43%,-2.03亿,4.37%,1.6,6.4782,,3.6625,PE；PB,1.30亿,-2.11亿,-41.91%,8.53亿,1.60亿,,,洛阳国宏投资控股集团有限公司
2018,28.301,5.5275,5.12,4.3,-5.78%,-2.13亿,-932.45%,2.14,6.5816,,2.3925,PE；PB,1.36亿,-764.19万,-50.11%,11.80亿,1.86亿,0.01,,洛阳国宏投资控股集团有限公司
2017,,,11.01,4.56,37.83%,2555.40万,-54.74%,2.53,,220.2,4.3518,PE；PB,1.04亿,2.11亿,5.55%,14.02亿,1.29亿,0.03,,洛阳国宏投资控股集团有限公司
2016,,,17.07,3.31,42.09%,5645.56万,70.36%,3.76,,142.25,4.5399,PE；PB,7656.66万,1.95亿,17.03%,11.16亿,1.06亿,0.1,,洛阳国宏投资控股集团有限公司
2015,,,12.09,2.33,-3.66%,3313.89万,-8.48%,5.88,,80.6,2.0561,PE；PB,1.69亿,1.48亿,14.21%,4.70亿,5125.03万,,,洛阳国宏投资控股集团有限公司
2014,,,,2.42,-4.40%,3621.07万,-15.42%,4.39,,,,PE；PB,3574.31万,1.18亿,14.96%,2.63亿,4074.56万,,,洛阳国宏投资控股集团有限公司
2013,,,,2.53,18.45%,4281.27万,11.89%,3.91,,,,PE；PB,2984.18万,9361.14万,16.91%,2.35亿,4736.23万,,,洛阳国宏投资控股集团有限公司
2012,,,,2.14,9.80%,3826.26万,6.82%,3.31,,,,PE；PB,1801.25万,6200.52万,17.90%,1.99亿,6153.49万,,,洛阳国宏投资控股集团有限公司
2011,,,,1.95,False,3582.00万,False,2.68,,,,PE；PB,3973.43万,2758.97万,18.38%,1.61亿,4356.29万,,,洛阳国宏投资控股集团有限公司
